link,lag,coef,p,n
E->K,0,-0.0009050002739812901,0.052116880847385215,1702
E->P,0,0.00020841456155802472,0.7873771512559418,1702
E->Z,0,-0.0004955799453080644,0.10768583448022233,1702
E->K,1,-0.0005600837817067854,0.0932286866661727,1702
E->P,1,0.0006793957706984829,0.33514794348320875,1702
E->Z,1,-0.00024535521069843813,0.537046451371943,1702
E->K,2,-5.0402303540467036e-05,0.8563811103763257,1702
E->P,2,0.0008747797520724148,0.11316314711221988,1702
E->Z,2,7.915354768917165e-05,0.7918587388827081,1702
E->K,3,-1.8570896107505236e-05,0.9384978531097482,1702
E->P,3,0.0007295337862034484,0.029418794827988797,1702
E->Z,3,0.00010084662906518891,0.6882493317550886,1702
E->K,4,-7.819759304055554e-05,0.7574250144307056,1702
E->P,4,0.0008584553993708065,0.0032126576352503352,1702
E->Z,4,-7.3231774595056364e-06,0.9713414297378037,1702
E->K,5,-0.00012773834065009612,0.6186873270822041,1702
E->P,5,0.000615486888353447,0.0702839706192484,1702
E->Z,5,-1.550390082378399e-05,0.9414711611799762,1702
E->K,6,-0.00030203796720138285,0.2949568091219177,1702
E->P,6,0.0006726877279977243,0.15476098872300442,1702
E->Z,6,-0.0005020980145263088,0.03423930204755536,1702
E->K,7,-0.000492272781263409,0.21981986030068845,1702
E->P,7,0.0006012248158314863,0.23470694193023822,1702
E->Z,7,-0.0006260213349214078,0.06198369685451391,1702
E->K,8,-0.0004558342037878082,0.302293797037408,1702
E->P,8,-0.0003378144452564141,0.3223580184256979,1702
E->Z,8,-0.000255387943322708,0.5668657980640543,1702
E->K,9,4.4635399891379506e-05,0.909596101021187,1702
E->P,9,-0.0007380143694128568,0.024106253876964582,1702
E->Z,9,-0.0005848946077891789,0.06662294829735353,1702
E->K,10,8.533634739652586e-05,0.8246930945661459,1702
E->P,10,-0.00042683233848325784,0.323283791414229,1702
E->Z,10,-0.0007989217267420484,0.22578666995942165,1702
E->K,11,-0.00012012629616085385,0.8047269734752677,1702
E->P,11,0.00027889823385129117,0.6017309017340478,1702
E->Z,11,-0.00019230933986249732,0.6964478932848022,1702
E->K,12,-0.0004579323351624467,0.33662585924352284,1702
E->P,12,0.0003110752623297661,0.5653305361327144,1702
E->Z,12,-0.0003157301023660645,0.4161453728489828,1702
E->K,13,-0.0005259423206246555,0.2983409341866454,1702
E->P,13,6.437791025995828e-05,0.8919338141037083,1702
E->Z,13,-0.0002469713439296958,0.554687972780666,1702
E->K,14,0.00021356740960099468,0.5521397767562097,1702
E->P,14,4.474532338667946e-05,0.9338269284230926,1702
E->Z,14,0.00034682037463453934,0.45523372794643757,1702
K->P,0,0.07255055658690765,0.20159647725535834,1702
K->P,1,0.1348585517958581,0.13912603431369044,1161
K->P,2,0.1388237430640857,0.210007658153337,727
K->P,3,0.07391264612802266,0.7373949571338685,469
K->P,4,0.1530935214050424,0.3335894953902444,354
K->P,5,-0.024164741539278944,0.8103978562695932,223
K->P,6,-0.41248192693636304,2.3263183998823266e-45,109
K->P,7,,,53
K->P,8,,,22
K->P,9,,,8
K->P,10,,,0
K->P,11,,,0
K->P,12,,,0
K->P,13,,,0
K->P,14,,,0
