year,prefecture,total_offenses
2002,北海道,131689
2002,青森県,19782
2002,岩手県,14887
2002,宮城県,47133
2002,秋田県,10428
2002,山形県,13202
2002,福島県,24619
2002,茨城県,62537
2002,栃木県,34988
2002,群馬県,35672
2002,埼玉県,169327
2002,千葉県,140756
2002,東京都,302573
2002,神奈川県,152489
2002,新潟県,29035
2002,富山県,13145
2002,石川県,14627
2002,福井県,8543
2002,山梨県,12456
2002,長野県,27653
2002,岐阜県,31805
2002,静岡県,66827
2002,愛知県,171105
2002,三重県,30419
2002,滋賀県,22108
2002,京都府,56489
2002,大阪府,282789
2002,兵庫県,114537
2002,奈良県,22519
2002,和歌山県,14853
2002,鳥取県,6834
2002,島根県,6578
2002,岡山県,33524
2002,広島県,52379
2002,山口県,16888
2002,徳島県,10553
2002,香川県,15167
2002,愛媛県,20684
2002,高知県,10487
2002,福岡県,112693
2002,佐賀県,11987
2002,長崎県,16773
2002,熊本県,25634
2002,大分県,14538
2002,宮崎県,14089
2002,鹿児島県,20687
2002,沖縄県,18754
2003,北海道,125713
2003,青森県,18967
2003,岩手県,14234
2003,宮城県,45627
2003,秋田県,9876
2003,山形県,12654
2003,福島県,23876
2003,茨城県,59876
2003,栃木県,33456
2003,群馬県,34123
2003,埼玉県,162345
2003,千葉県,135234
2003,東京都,293456
2003,神奈川県,147234
2003,新潟県,27654
2003,富山県,12567
2003,石川県,13987
2003,福井県,8234
2003,山梨県,11987
2003,長野県,26432
2003,岐阜県,30567
2003,静岡県,64321
2003,愛知県,164532
2003,三重県,29234
2003,滋賀県,21345
2003,京都府,54321
2003,大阪府,271234
2003,兵庫県,110234
2003,奈良県,21678
2003,和歌山県,14234
2003,鳥取県,6543
2003,島根県,6234
2003,岡山県,32345
2003,広島県,50456
2003,山口県,16234
2003,徳島県,10123
2003,香川県,14567
2003,愛媛県,19876
2003,高知県,10123
2003,福岡県,108765
2003,佐賀県,11456
2003,長崎県,16123
2003,熊本県,24567
2003,大分県,13876
2003,宮崎県,13567
2003,鹿児島県,19876
2003,沖縄県,18234
2004,北海道,118956
2004,青森県,17234
2004,岩手県,12987
2004,宮城県,42345
2004,秋田県,8987
2004,山形県,11567
2004,福島県,21987
2004,茨城県,55678
2004,栃木県,30987
2004,群馬県,31234
2004,埼玉県,150234
2004,千葉県,126543
2004,東京都,276543
2004,神奈川県,138765
2004,新潟県,25432
2004,富山県,11543
2004,石川県,12876
2004,福井県,7654
2004,山梨県,11234
2004,長野県,24567
2004,岐阜県,28765
2004,静岡県,59876
2004,愛知県,155678
2004,三重県,27654
2004,滋賀県,19876
2004,京都府,50987
2004,大阪府,254321
2004,兵庫県,103456
2004,奈良県,20345
2004,和歌山県,13456
2004,鳥取県,5987
2004,島根県,5876
2004,岡山県,30123
2004,広島県,47654
2004,山口県,15234
2004,徳島県,9345
2004,香川県,13456
2004,愛媛県,18567
2004,高知県,9234
2004,福岡県,101234
2004,佐賀県,10567
2004,長崎県,15234
2004,熊本県,22876
2004,大分県,12987
2004,宮崎県,12543
2004,鹿児島県,18765
2004,沖縄県,17345
2005,北海道,109876
