specialty,2008,2011,2014,2017,2020,2023
内科,63083,61207,63888,63994,64143,64747
外科,15289,13644,13976,13076,12405,11773
整形外科,12929,12252,12792,12675,12439,12298
形成外科,1858,1808,1958,2046,2167,2491
産婦人科,3555,3284,3105,2976,2826,2784
小児科,22503,19994,20872,19647,18798,17778
精神科,5629,5739,6481,6864,7223,7761
眼科,8403,8239,8260,8226,8244,8222
耳鼻咽喉科,5883,5738,5870,5828,5783,5681
泌尿器科,3885,3604,3726,3741,3763,3851
皮膚科,12436,11518,12328,12198,12410,13185
麻酔科,2271,2061,2143,2008,1943,1792
