collection_no,collection_name,lng,lat,mid_ma,formation,n_occurrences,n_genera,n_herbivore,n_predator
102283,Runningwater Formation Pleurolicus exiguus,-103.783333,42.566666,17.4,Runningwater,1,1,1,0
105889,Hodges Hill,-79.653816,9.047688,17.4,Cucaracha,2,2,2,0
105967,Mission Roadside Site,-100.650002,43.299999,14.4,Valentine,1,1,0,1
106180,"Super Creek, Burrobend Member",-116.636948,33.926109,6.2895,Imperial,1,0,0,0
109028,Prairie Dog Creek Pseudoceras Site,-99.25,40.066666,8.6,,1,1,1,0
109308,Head of Cramer Creek,-100.183334,42.900002,10.95,Valentine,1,1,0,0
110827,Mumm Quarry,-100.849998,39.666668,10.95,Ogallala,1,1,0,1
110828,Leptarctus wortmani type,-102.683334,42.683334,10.95,Ash Hollow,1,1,0,1
110829,Selby Ranch Quarry,-99.533333,39.950001,10.95,Ogallala,5,5,3,2
122044,"CFM Reventazon River, Curré Formation",-83.080833,8.854444,7.050000000000001,Curré,4,4,0,0
123931,Brooke County Sandpit,-80.566109,40.269722,12.809999999999999,,1,1,1,0
125717,Buckshot Arroyo (OMNH VP locality no. V671),-100.26889,36.92889,7.050000000000001,Rexroad,3,1,3,0
125933,23 Miles South of Agate,-103.800003,42.083332,14.4,Olcott,1,1,0,1
13061,Coursen garden,-118.339996,33.772999,15.5,Monterey,1,1,0,0
142889,Cartagena Hill,-79.623634,9.022731,17.4,Cucaracha,1,1,1,0
144202,Glen Springs,-82.366669,29.683332,7.615,Peace River,2,1,0,0
144596,San Gerardo de Limoncito,-83.081001,8.8554,6.2895,Curré,13,11,13,0
144879,Gaillard Cut,-79.666664,9.049722,17.4,Cucaracha,17,16,13,3
144881,Contractor’s Hill,-79.650002,9.0325,17.4,Cucaracha,1,1,1,0
151550,Lee Creek Mine,-76.785004,35.389442,13.805,Pungo River,1,1,0,0
154947,Upper Black Butte,-118.099998,43.75,8.4815,Drewsey,3,3,2,1
156735,Upper Moroni Formation,-111.430275,39.855831,17.4,Moroni,1,1,1,0
