Country,ISO3,mu1,beta_j,Var(dTFP) M0,Var(dTFP) M2,Tempo share %,Joint share %,Cum TFP M0,Cum TFP M4
Australia,AUS,0.020000000000000004,0.3,5.16,4.71,8.8,8.2,0.599,0.355
Austria,AUT,0.039999999999999994,0.0,4.92,4.89,0.6,-1.7,1.007,1.016
Belgium,BEL,0.039999999999999994,0.2,3.32,3.26,1.7,-4.2,0.911,0.745
Canada,CAN,0.08,0.06,3.33,3.27,1.7,-1.8,0.589,0.788
Chile,CHL,0.12,0.0,19.66,19.33,1.7,-0.8,0.396,0.487
China,CHN,-0.08,0.34,32.77,31.34,4.4,0.1,0.067,-0.609
Colombia,COL,0.0,0.08,4.27,4.2,1.7,3.9,0.191,0.336
Costa Rica,CRI,-0.020000000000000004,0.02,12.83,12.84,-0.1,8.5,0.397,0.664
Czech Republic,CZE,0.12,0.0,11.69,10.56,9.6,4.9,0.412,0.423
Denmark,DNK,0.08,0.0,3.95,3.82,3.1,0.7,0.884,0.895
Estonia,EST,0.12,0.0,36.52,34.29,6.1,-0.0,0.389,0.39
Finland,FIN,0.12,0.0,6.17,5.93,3.8,-0.0,0.904,0.904
France,FRA,-0.08,0.34,3.86,3.86,-0.0,29.7,1.187,0.685
Germany,DEU,-0.08,0.08,3.37,3.37,-0.1,-53.3,1.133,1.204
Greece,GRC,-0.08,0.32,16.92,16.88,0.3,1.5,0.797,0.268
Hungary,HUN,-0.08,0.28,9.11,9.11,-0.1,6.9,0.484,0.148
Iceland,ISL,-0.020000000000000004,0.14,13.68,13.38,2.1,3.1,0.863,0.917
Ireland,IRL,0.12,0.0,11.45,11.26,1.7,-0.0,1.076,1.076
Israel,ISR,0.12,0.0,17.15,17.02,0.8,-6.5,1.063,1.124
Italy,ITA,-0.08,0.34,6.49,6.49,-0.0,11.0,0.669,0.175
Japan,JPN,-0.08,0.0,5.52,5.53,-0.1,-0.1,1.029,1.029
Latvia,LVA,0.12,0.0,93.27,90.35,3.1,-0.0,0.269,0.27
Lithuania,LTU,0.12,0.0,54.26,51.29,5.5,-0.0,0.24,0.24
Luxembourg,LUX,0.0,0.16,11.09,10.1,8.9,14.6,-0.106,0.285
Mexico,MEX,0.039999999999999994,0.08,11.85,11.86,-0.1,-8.7,0.031,0.216
Netherlands,NLD,0.039999999999999994,0.34,5.1,5.08,0.3,10.7,0.896,0.534
New Zealand,NZL,0.12,0.26,11.86,10.23,13.8,8.9,0.134,-0.001
Norway,NOR,0.08,0.34,3.03,2.78,8.2,8.5,0.87,0.324
Poland,POL,-0.08,0.0,16.12,16.12,-0.1,-0.1,0.271,0.271
Portugal,PRT,-0.08,0.04,11.23,11.23,-0.0,4.9,0.815,1.143
Republic of Korea,KOR,0.08,0.0,8.16,7.96,2.5,-1.0,1.439,1.496
Slovakia,SVK,0.039999999999999994,0.0,16.07,14.45,10.1,0.1,0.546,0.547
Slovenia,SVN,-0.08,0.0,9.58,9.4,1.9,0.3,0.511,0.513
Spain,ESP,-0.08,0.08,12.03,12.03,-0.1,3.8,1.107,1.171
Sweden,SWE,0.12,0.0,2.77,2.54,8.3,4.0,0.718,0.733
Switzerland,CHE,0.12,0.1,3.53,3.51,0.5,-5.1,0.606,0.616
Turkey,TUR,0.12,0.08,29.84,29.23,2.1,-0.5,0.163,0.237
United Kingdom,GBR,0.12,0.0,2.83,2.64,6.6,2.7,0.425,0.443
United States,USA,0.08,0.0,1.5,1.48,1.3,-16.0,0.637,0.659
