dialogue_id,user_er,user_ee,donation_ee,donation_er,intended,is_annotated,n_utterances,n_persuader_turns,n_persuadee_turns
20180904-045349_715_live,A3A07QA5U733HQ,A25L985XCNESXE,0.0,0.0,0.2,True,21,11,10
20180904-154250_98_live,A3GGA28ZY5CYTH,AG3ISFZMFGDQ9,2.0,0.0,nan,False,20,10,10
20180904-024226_703_live,A22WWSTT8TU7G1,A2JQOU78XJA6VP,0.05,0.05,0.05,True,20,10,10
20180904-100019_870_live,A29NICQTS9B05U,A302K8B1H9ISJA,0.0,0.0,nan,False,21,11,10
20180904-001208_706_live,A3LQ2F30FKC0CZ,A1RGD548VIVY96,1.0,0.0,nan,False,21,11,10
20180904-073734_888_live,A37UAEDJV33QQ5,A2ZHSCEKPMUX9Y,0.0,1.0,nan,False,20,10,10
20180904-133536_2_live,A3P57IUDHUKNCE,A1T6TPNU64ZH9F,0.15,0.0,nan,False,20,10,10
20180904-151909_144_live,A3A07QA5U733HQ,A1FVCMGXK85014,0.1,0.5,nan,False,20,10,10
20180904-090422_355_live,A385XCYM8G13AG,AY31F9HRH93H5,1.0,0.5,nan,False,20,10,10
20180904-054911_684_live,A2CSV75E3JT58Y,AUA1L25QFNOTR,0.1,0.0,nan,False,20,10,10
20180904-052026_52_live,A1FVCMGXK85014,A3OPXHRV87Y65O,1.5,0.0,nan,False,22,11,11
20180904-091237_363_live,A24YW3IM1S9LNP,A2K5CRACD4PL5U,0.75,1.0,nan,False,20,10,10
20180904-090242_588_live,A13QMHRY10V3XD,ALQ6P5W7ZVU3Q,0.2,0.2,nan,False,22,11,11
20180904-083727_564_live,A1HE3OQHM7C2B8,A2LAE3OM5OQ0WF,0.25,0.0,nan,False,22,11,11
20180904-043300_214_live,A161AJDHLJVCLZ,A3P2LT53J1GUBG,0.0,0.0,nan,False,20,10,10
20180904-082430_252_live,A1VE1CAMPSYRHE,AWJS64YIDUZ2L,0.0,0.0,nan,False,21,11,10
20180904-151613_546_live,A2LI51CANHJ00M,A25AMA8W5ASH00,0.0,0.0,nan,False,22,11,11
20180904-135050_839_live,ACM87U430O96Z,A1VR49TB3Q4BV8,0.0,0.15,nan,False,21,11,10
20180904-055231_835_live,A3UC8KZ5O8FVX9,AIM6UIPPVF05M,2.0,2.0,nan,False,20,10,10
20180904-102547_933_live,A3P2PAD4UHX44I,A5TIG718GB7IM,1.0,0.5,nan,False,22,11,11
20180904-053728_415_live,A33B85TN97HQ33,A1DNJ3C38BJ0MJ,0.5,0.5,nan,False,20,10,10
20180904-030739_178_live,AKQP8M2GR7VCL,A3U8PLWZQUK09D,0.0,0.0,nan,False,20,10,10
20180904-151308_935_live,A2XH803LQTVROS,A1GOT0DXTYCM4E,1.0,1.0,nan,False,20,10,10
20180904-110536_308_live,A2GCAZKO1WBECD,A2H2LO1OOF8R5N,2.0,0.0,nan,False,22,11,11
20180904-004818_580_live,A2JZDJPQ0JTJY9,A2CP6MLJVJYBO7,0.25,0.05,0.25,True,21,11,10
20180904-153333_396_live,A1RGD548VIVY96,A3T9K2RY06UO14,0.0,1.0,nan,False,21,11,10
20180904-154223_473_live,A2APJBWVHEFR9Q,ANAKJ9EAM522A,0.1,1.0,nan,False,20,10,10
20180904-152255_763_live,A197FECF831H95,AXY0D2AMLKE2A,0.75,0.0,nan,False,20,10,10
20180904-062111_628_live,A3GJPHFUCNBO8J,A16184N1RO5OJV,0.0,0.2,nan,False,20,10,10
20180904-025026_901_live,AISNLDPD2DFEG,A3PL7JEMIPFHI9,0.3,0.0,0.3,True,20,10,10
20180904-065729_541_live,AIVV4VUFFYHHN,AZK0NQ1L1Q77O,2.0,0.2,nan,False,20,10,10
20180904-012828_299_live,AEZ57X5KVI2ZH,A2COBVXJB4QPRV,0.0,0.0,nan,False,20,10,10
20180904-153641_72_live,AAUZ7C9UH8UZV,A2H1QUGX0SOUMH,0.2,0.2,nan,False,23,12,11
20180904-152519_728_live,A2V7TW5EJADYDF,A140YK07NHCPOF,0.3,2.0,nan,False,22,11,11
20180904-075212_668_live,A2OATZCX1YXE77,ADXBO565GUVXW,2.0,0.0,nan,False,20,10,10
20180904-051519_852_live,A3LOLMFCFVCXSX,AT1FUXADXKW0Y,0.5,0.0,nan,False,20,10,10
20180904-073348_848_live,A1DIS2LBW2V1QE,A3OCYH4BC5E9B4,0.0,0.0,nan,False,21,11,10
20180904-050435_387_live,A31UXXZVI3U4E2,A3MC7NK3K7JWTW,0.0,0.0,nan,False,22,11,11
20180904-064114_258_live,A1WKF2VH7TV0H2,A3P497ZEPZXBJW,0.0,0.0,nan,False,20,10,10
20180904-093015_67_live,A2BPXWBO2OSJRP,A3ESC1H6BBKF30,0.0,1.25,nan,False,20,10,10
20180904-080304_646_live,A31PCN2LP7DP8I,A8UOZ3D7WV1GP,0.0,1.0,nan,False,20,10,10
20180904-032932_423_live,A3NBT0WBUQ1AJ4,AA8EWR4MUGQNO,1.0,1.0,1.0,True,21,11,10
20180904-060802_653_live,A1QJX8U3IIL5XQ,AYRJS25P2DQM,1.0,0.0,nan,False,20,10,10
20180904-012448_306_live,A3KL0A3IYLPN7J,A3KEBJF8GGC49A,0.1,0.1,0.1,True,20,10,10
20180831-190413_38_live,A31MU6LZ7ZKJD7,A18XNR03DAA95Z,1.72,0.0,nan,False,21,11,10
20180831-100313_532_live,A1R2VTQSLGLMM9,A2IRUKFV6U4VB7,0.01,1.0,nan,False,22,11,11
20180831-053123_578_live,A33UFNG3ITAWUI,A1T0ND039EWAVV,0.0,0.5,nan,False,20,10,10
20180831-224726_732_live,A17UO115FDB6UR,A2N8D7EIFOQ0NV,0.0,0.0,nan,False,21,11,10
20180831-031446_408_live,A3U8PLWZQUK09D,ASA8VDVY04TF0,0.1,0.0,nan,False,20,10,10
20180831-082733_742_live,A22WWSTT8TU7G1,A264G2H7KNNP3C,0.0,0.25,nan,False,20,10,10
20180831-065311_853_live,A11N2XYG9AGJ30,A1DNJ3C38BJ0MJ,0.2,0.0,nan,False,20,10,10
20180831-180355_992_live,AV3LN2EMUI4LG,AXH8UCJHSUCUM,0.0,0.0,nan,False,20,10,10
20180831-191711_71_live,A1D3L19FBQ7LBQ,A3OCYH4BC5E9B4,0.0,0.0,nan,False,21,11,10
20180831-040908_90_live,A25L985XCNESXE,A1RGD548VIVY96,1.0,0.0,nan,False,20,10,10
20180831-043947_465_live,AQNM5R2NMGTG6,AZIAQJWXTSFUX,0.0,0.0,nan,False,20,10,10
20180831-175925_143_live,ACNHKXWKZRUZ5,A2VAOQ8P5M2Y8D,0.0,0.0,nan,False,21,11,10
20180831-073919_112_live,A38TZK07ON180S,A2Y7ECGX92OJAL,0.0,0.0,nan,False,20,10,10
20180831-223214_28_live,A2M7114AHJP8AO,A1P74XUJ8AKQGO,0.2,0.0,nan,False,21,11,10
20180831-052816_178_live,A3UC8KZ5O8FVX9,AUEWKVM1TZN9D,0.1,1.0,nan,False,20,10,10
20180831-205301_781_live,A2HMLLWX9NWEJV,A26S6P9R9UB5UP,0.0,0.1,nan,False,21,11,10
20180831-200600_498_live,A3W4MAKNDI1SXM,A29JLB7MO2BZ7T,1.0,0.0,nan,False,20,10,10
20180831-231226_976_live,A2RGHUEITGT0MG,A27B8LOO30QZZV,0.05,0.05,nan,False,20,10,10
20180831-103236_81_live,A3UVDTWDZIC4TC,A1Y3IPBBZQTWR2,0.0,0.0,nan,False,21,11,10
20180831-054654_563_live,A2E2UARVOVDR9Y,A19FOM6RAGCB1R,2.0,2.0,nan,False,20,10,10
20180831-083027_46_live,A34T1MIM4S7KDD,A1DNJ3C38BJ0MJ,0.5,2.0,nan,False,20,10,10
20180831-070455_353_live,A2JWWZ59D2TDY3,A161AJDHLJVCLZ,0.0,0.1,nan,False,21,11,10
20180831-184520_110_live,ABJK3FIK9DGPS,AXY0D2AMLKE2A,0.75,0.0,nan,False,20,10,10
20180831-131354_977_live,AZYUCL6B0YROY,A3EN6WYTR0D2P5,0.0,0.0,nan,False,20,10,10
20180831-184944_472_live,AV5YWOY32RU8S,A1T6TPNU64ZH9F,0.3,0.02,nan,False,21,11,10
20180831-193934_858_live,A1B7Y6W33FM2L8,A3HXIGBCL1CRFS,1.0,1.0,nan,False,21,11,10
20180831-185836_687_live,AZIAQJWXTSFUX,A19HS6ON7R2KBP,0.5,0.0,nan,False,20,10,10
20180831-072612_12_live,A161AJDHLJVCLZ,A1CNAE0BQUOBMK,0.0,0.0,nan,False,20,10,10
20180831-080306_985_live,A1BSYAWID6RI6J,A19OVX1OVNZF7S,0.2,0.0,nan,False,20,10,10
20180831-120243_533_live,A2MTNKOH8SMMNR,A1R2GLS7IS9QM1,0.0,0.0,nan,False,20,10,10
20180831-073753_874_live,A1C8P0NH84SQ76,A2428JFSF3ADU,2.0,0.0,nan,False,20,10,10
20180831-182245_152_live,A1MCFLAQ4MOVBZ,A1NCWY01WAAP2K,1.5,0.2,nan,False,20,10,10
20180831-231032_102_live,A2FNZFG5WTVEGM,A2VAOQ8P5M2Y8D,0.0,0.0,nan,False,20,10,10
20180831-222729_66_live,A2JY56TZCEPK3J,A1TW4ZXCQC5XGK,0.05,0.0,nan,False,25,13,12
20180831-053018_301_live,A1MOXHDRAGG0K1,AZIAQJWXTSFUX,0.1,0.0,nan,False,21,11,10
20180831-012053_911_live,A33Z4DP3MJFIGN,A1RGD548VIVY96,1.0,2.0,nan,False,20,10,10
20180831-181810_204_live,A1FVCMGXK85014,ACNHKXWKZRUZ5,1.0,0.0,nan,False,21,11,10
20180831-182914_929_live,AG6JSZQZOT8ZD,A9IC7BMHIPTYH,1.0,2.0,nan,False,22,11,11
20180831-071300_554_live,A10ARSSXF5SFCW,A38TZK07ON180S,0.0,1.0,nan,False,20,10,10
20180831-111502_257_live,ACP3L9X63GBRK,A322SGIJC9EPN9,1.0,0.0,nan,False,20,10,10
20180831-051326_212_live,A25L985XCNESXE,A8FZAMRMDKTU3,0.0,0.0,nan,False,20,10,10
20180831-211837_377_live,A33Z4DP3MJFIGN,A1FTIGX35ZK6PD,0.0,2.0,nan,False,20,10,10
20180831-191911_779_live,A25L985XCNESXE,A2ZBSQR3OWVJT3,1.0,0.0,nan,False,20,10,10
20180831-191015_164_live,A24FXUKXISZ1W7,A1J6Z70T78B35V,0.0,0.0,nan,False,24,12,12
20180831-183431_357_live,AZIAQJWXTSFUX,A3MMPJ4J1EMU74,0.1,0.0,nan,False,21,11,10
20180831-130348_981_live,A36PRTZFECB76C,A202BACMRH2JRQ,0.0,0.5,nan,False,21,11,10
20180831-185408_698_live,A1TW4ZXCQC5XGK,A044283626HL8LJIENG2J,0.0,0.0,nan,False,22,11,11
20180831-211130_630_live,ASBJG6LQ9G1PL,A3SZ5EYLO5ZQ2D,0.0,0.0,nan,False,20,10,10
20180831-094601_58_live,A3OI216PJT396K,A16184N1RO5OJV,0.2,0.0,nan,False,20,10,10
20180831-120603_285_live,A9TV5YTO2VBW,A45CAYS9V8I45,0.05,0.05,nan,False,22,11,11
20180831-115617_21_live,A2VEXH2HN7SCWC,A3H2PNW9R0TGH1,1.0,1.0,nan,False,20,10,10
20180831-180851_529_live,A3MMPJ4J1EMU74,A3T9K2RY06UO14,0.0,1.0,nan,False,21,11,10
20180831-094009_882_live,A3JPRHZ42FNY1S,A3VYD9XUBY7RVO,0.0,0.0,nan,False,21,11,10
20180831-215137_413_live,A7K6LJGDREGTT,A2JY56TZCEPK3J,0.0,0.0,nan,False,22,11,11
20180831-221232_645_live,A2QYKSP6P9PGQR,ASBJG6LQ9G1PL,0.0,0.0,nan,False,20,10,10
20180831-122246_544_live,A482A9TGBL8VD,A2OBW9OO2S40T3,0.25,0.0,nan,False,20,10,10
20180831-063536_532_live,A1R2GLS7IS9QM1,A3PSN6UCH0L8MV,0.25,0.0,nan,False,20,10,10
20180831-081945_112_live,A28KV1QXL1AV4X,AUYV8KZOA9Z3M,0.0,0.0,nan,False,20,10,10
20180831-211050_995_live,A7K6LJGDREGTT,AKMQH2MGTUWO9,0.0,0.0,nan,False,21,11,10
20180831-180309_707_live,A1HS2UT856NZSV,A3A07QA5U733HQ,0.0,1.0,nan,False,20,10,10
20180831-191926_666_live,A3MMPJ4J1EMU74,A3KS4PVQL0PYSO,1.0,1.0,nan,False,20,10,10
20180831-175558_427_live,A2OATZCX1YXE77,A2RHE12CJSKCRE,0.5,0.0,nan,False,20,10,10
20180828-190442_503_live,AV3LN2EMUI4LG,A2QKAA5YS0P4CI,0.0,0.0,nan,False,20,10,10
20180828-200947_596_live,A1P683LTPL4C68,A6WXIKRYMXNIN,0.0,0.0,nan,False,20,10,10
20180828-151312_220_live,AEQ1FIT3SYXWZ,A16BZHTVTU4976,2.0,0.0,nan,False,20,10,10
20180828-221141_79_live,A2RGHUEITGT0MG,ABI1EI8UQK6LK,0.01,0.01,nan,False,20,10,10
20180828-185546_199_live,A3E5BQ510YTWBP,A1OP4BATW0TUUG,0.0,0.0,nan,False,20,10,10
20180828-220746_854_live,A2FID5CK33E84F,A8ZUM922CBH6S,0.0,0.4,nan,False,24,12,12
20180828-175059_983_live,ALBORX1DBXFLC,A2K2MSP0EFWFTA,0.3,0.0,nan,False,20,10,10
20180828-191127_844_live,A2E8RFKIOY2MQR,A23MOF1WG1Z6KB,0.25,0.5,nan,False,22,11,11
20180828-162752_771_live,A1F6IOE98VG1ZL,A1J6Z70T78B35V,0.0,0.0,nan,False,20,10,10
20180828-162137_37_live,A1HYP4UIPUFSGF,A1FH0Y12VSXUMK,1.0,0.5,nan,False,22,11,11
20180828-191949_798_live,A3P0P0DRSOX52W,A3JPRHZ42FNY1S,0.0,0.3,nan,False,20,10,10
20180828-155952_523_live,A244X2KYRPNOEO,A3908297ZI3LES,0.0,0.5,nan,False,26,13,13
20180828-191043_249_live,A3LPTQVJ1XSS4L,AL64IEHC045RJ,0.0,0.0,nan,False,20,10,10
20180828-171020_885_live,A9TV5YTO2VBW,AYYBMS4XQJ9AP,0.0,0.0,nan,False,23,12,11
20180828-230057_631_live,A1ZE0MLGKWQLM8,A17VJGXGBNEL9E,0.0,0.0,nan,False,20,10,10
20180828-180224_618_live,A1NDM9R54FJMPW,A2OATZCX1YXE77,0.0,0.1,nan,False,20,10,10
20180828-150559_96_live,A1F1OZ54G177D8,A2RSG8IMB0ZOB5,2.0,0.0,nan,False,22,11,11
20180828-192229_245_live,AQAOHDOVLGPLR,APPNTU0LE3T9L,1.0,0.25,nan,False,23,12,11
20180828-215629_975_live,A1CKP36D1MKIYW,ABTRH6RKN46WZ,1.0,0.0,nan,False,22,11,11
20180828-204943_168_live,AUEWKVM1TZN9D,A2LV5432PV1S39,0.0,0.0,nan,False,20,10,10
20180828-194258_519_live,AIVSV91CBYI12,A34ZP0QJMB8X45,0.0,0.2,nan,False,21,11,10
20180828-151914_101_live,A2A4EX36X0JB4R,A1A6WVWKUO1XX,1.0,1.0,1.0,True,20,10,10
20180828-151016_679_live,ADKKDK6P4MS1Z,A2TKHXY755FAM,0.25,0.0,nan,False,20,10,10
20180828-200654_46_live,AUEWKVM1TZN9D,A29FVB7PUJYOYN,0.2,0.0,nan,False,20,10,10
20180828-182401_548_live,ACNHKXWKZRUZ5,A2LTOS0AZ3B28A,0.0,0.0,nan,False,22,11,11
20180828-191231_142_live,A1PF01FF85HUY4,A3MA1SVP12F3DO,0.5,0.0,nan,False,20,10,10
20180828-202033_549_live,A34VIKOCYAW0F3,A1U3YHH7SL7EKD,2.0,0.0,nan,False,22,11,11
20180828-155133_109_live,A22N5ONOWPNZGB,A3S49UPP1EC44X,0.1,0.5,nan,False,20,10,10
20180828-192601_768_live,A2C84QVRK3KG57,AJW3PL5UDH4BP,0.0,0.0,nan,False,20,10,10
20180828-150047_923_live,A1PF01FF85HUY4,AG430TVZD4313,1.0,0.0,nan,False,20,10,10
20180828-220218_164_live,A2DNLXU3BZWO1T,A7SXWHGK8B40R,0.0,0.0,nan,False,20,10,10
20180828-144936_260_live,AFJPRRP32NK7T,A16E0XDNK8KX5Y,0.0,0.0,nan,False,21,11,10
20180828-150913_399_live,A1M1F4BFYRK6JP,A1FNM9XIUUAC8I,1.0,0.0,nan,False,20,10,10
20180828-161149_939_live,A1TXCO12MCTP8P,A1T6TPNU64ZH9F,0.3,0.3,nan,False,20,10,10
20180828-182632_141_live,A25VJ8B2GXCL5C,A3FXXVWB4808XQ,2.0,0.5,nan,False,20,10,10
20180828-164559_390_live,A3WNUUT4S3JFS,A27N42X43L6EH1,0.0,0.0,nan,False,20,10,10
20180828-190212_442_live,A33VGSEJ44ORMF,A1BSL1VC7PQR04,0.0,0.0,nan,False,20,10,10
20180828-185320_572_live,A20LZN9TNA6VPB,A2VN9PF50ZB09W,0.5,0.0,nan,False,20,10,10
20180828-213210_462_live,A1JG48RRYGU8YS,A3ESC1H6BBKF30,0.0,1.0,nan,False,21,11,10
20180828-161442_405_live,A3C6JXTIN15G4C,A2APJBWVHEFR9Q,1.0,1.5,nan,False,21,11,10
20180828-163111_795_live,A3L2VS3998R77L,A2H9FMJIC40XBI,1.0,0.0,nan,False,21,11,10
20180828-144300_705_live,APF1EAZT104LQ,A1V9G7V6ZYACIR,0.0,0.0,nan,False,20,10,10
20180828-155340_989_live,A16KMPWYUZO0M6,A1Y82LKWQQP90M,0.2,0.0,nan,False,20,10,10
20180828-145857_925_live,A2Z45R9OA6S9VN,A3A07QA5U733HQ,0.0,0.0,nan,False,20,10,10
20180828-190447_206_live,A1B7Y6W33FM2L8,A3E6ZHAKWMK0RW,0.5,2.0,nan,False,20,10,10
20180828-162550_253_live,ARFQ8FJRKCUZ6,AON59V5VZU2AK,1.0,0.0,nan,False,22,11,11
20180828-183321_46_live,AJE2GXXF7UMBN,A1PVWZ8ZYJHCOJ,0.0,0.25,nan,False,21,11,10
20180828-195304_313_live,A28CIMSEERVP8T,A26NOW16GA6U33,0.0,0.0,nan,False,20,10,10
20180828-190347_623_live,A1VZSFHTU51JP0,A31A4YKVSOYRVS,1.25,0.0,nan,False,21,11,10
20180828-152151_483_live,A1B7Y6W33FM2L8,A3HL2LL0LEPZT8,0.1,0.0,nan,False,20,10,10
20180828-194952_902_live,AO81QRI85XLIJ,A88HAG61XOWXD,2.0,0.0,nan,False,20,10,10
20180828-224234_567_live,A7SXWHGK8B40R,A2JY56TZCEPK3J,0.0,0.0,nan,False,20,10,10
20180828-192750_297_live,A2JCHN90PRUWDH,A2YQBBAK7NBZHU,0.0,0.0,nan,False,22,11,11
20180828-150231_344_live,AU01P6YB9J5JX,A3EDQ2GO84QEBB,1.0,0.1,nan,False,20,10,10
20180828-145342_771_live,A3UK4IH1X64TYH,A1AMP9RUXAAV9K,0.1,0.0,nan,False,20,10,10
20180828-201439_804_live,A2KZMXNR015XFV,A1N774FTOW9QIW,0.0,1.0,nan,False,20,10,10
20180828-212320_295_live,A4C2WHM8BKBP0,A2JY56TZCEPK3J,0.0,0.25,nan,False,23,12,11
20180828-150259_573_live,AUSX67YB5MXQX,A2OBW9OO2S40T3,0.05,0.05,nan,False,20,10,10
20180828-190043_840_live,AXY0D2AMLKE2A,A2EPBSY0VPI38S,1.0,0.25,nan,False,20,10,10
20180828-181506_747_live,A1A0WM0OJMOF7Z,A1VE6VNQJO0U88,1.0,0.0,nan,False,20,10,10
20180828-192202_602_live,A2ZDK0Y5466BXN,A2S96ZZ70YFPSK,0.5,0.5,nan,False,20,10,10
20180828-191951_61_live,A3BN7XW16OPEP3,A19LVWX8ZLO6CS,1.0,0.0,nan,False,20,10,10
20180828-145511_480_live,A302K8B1H9ISJA,AFUEPYL1FF15Y,0.25,0.0,nan,False,20,10,10
20180828-192913_631_live,A13VU5Q5QN807G,AFNERWJK1G1GH,0.5,1.0,nan,False,22,11,11
20180828-190157_397_live,ACM87U430O96Z,A10249252O9I20MRSOBVF,0.0,0.15,nan,False,21,11,10
20180828-204944_288_live,A20FCMWP43CVIU,A2XHD64QUKA5Z6,0.0,0.0,nan,False,20,10,10
20180828-151602_271_live,A1M8GE34UYSUCB,A266PVFJ9E11S0,1.5,0.0,nan,False,20,10,10
20180828-182449_776_live,A2GPRAZMQDRPJP,AEHONA1BIY9JB,0.0,0.0,nan,False,21,11,10
20180828-201354_18_live,APDDA1Y59RHV9,A2LMYDFJ84Q0GH,0.0,2.0,nan,False,20,10,10
20180828-192007_353_live,AHG4SKQOAW21O,A1OU83QYFBDIPT,0.0,0.0,nan,False,21,11,10
20180828-150721_38_live,A2EE7JRUB0QIUO,A38S1M9I6HIBJG,0.75,2.0,nan,False,20,10,10
20180828-191128_16_live,A28F9W0OCGS3QG,A1H1TKK54YG94Q,0.15,0.2,nan,False,20,10,10
20180828-161943_26_live,A3TGO6I43FNUSR,A1MCFLAQ4MOVBZ,1.54,0.0,nan,False,20,10,10
20180828-192744_15_live,A3SUZUCOGGN37Z,A295P5SW3N83P6,0.0,0.0,nan,False,20,10,10
20180828-213210_53_live,A3KFBBAQ4QX9W8,A2RGHUEITGT0MG,0.5,0.0,nan,False,20,10,10
20180828-202206_260_live,A3TXLHC83TPLT5,A2N962G55T9MOB,0.75,0.75,nan,False,20,10,10
20180828-163300_633_live,A3P57IUDHUKNCE,A28PAP3U142XBH,1.0,0.0,nan,False,20,10,10
