Category,Curve,N,F-stat,p (full),p (clean),AIC best,BIC best,RMSE_lin,RMSE_quad,Cook max,N influential,Verdict
Economics,Phillips Curve,32,0.014377713404098227,0.9053835950182431,0.2574472406703364,log,log,1.4641035764126393,1.5732375756909995,0.6310893740831818,2,NOT_SIGNIFICANT
Economics,Laffer Curve,29,3.8247881712109413,0.06132582437145562,0.05538442809751998,quadratic,quadratic,7.72412810151464,7.554285545863376,0.11187171739650063,0,NOT_SIGNIFICANT
Economics,Kuznets Curve,130,2.6232756628093914,0.10778743639020028,0.05255004560968379,quadratic,linear,6.683919872323378,6.665543696694024,0.05431416801584129,4,NOT_SIGNIFICANT
Economics,Environmental Kuznets Curve (CO2),189,1.9183597373737176,0.16769653424305664,1.5652994480808147e-05,log,log,6.936066797000549,6.987921832595859,0.7765767518965108,12,NOT_SIGNIFICANT
Economics,Beveridge Curve,24,3.025902558386993,0.09658300140687837,0.002270898864791815,log,log,1.0676711741121503,1.0511107849459165,0.3016846730737567,2,NOT_SIGNIFICANT
Economics,Okun's Law,31,7.705892420392644,0.009700299552627856,0.7670543668001272,quadratic,quadratic,0.8523006906696848,0.8966176048856762,1.1051083551331817,1,OUTLIER_DEPENDENT
Economics,Engel Curve,102,33.840749880028945,7.365818865956442e-08,0.0008599108056359661,quadratic,quadratic,8.232428892912807,7.091119115072552,0.367762972778942,9,ROBUST_NONLINEAR
Economics,J-Curve (Trade),25,10.092256463730553,0.004363686555786339,4.36896793595265e-05,quadratic,quadratic,1.0884497711972063,1.0285820588929184,0.19326447452402287,2,ROBUST_NONLINEAR
Economics,Rahn Curve,151,3.846603429496603,0.0517236380470143,0.37858644524947493,quadratic,log,2.314919883377483,2.357651336701818,0.6245428869945581,8,NOT_SIGNIFICANT
Economics,Gravity Model of Trade,14263,15.687758038759888,7.50693196711616e-05,0.0002398812203179279,quadratic,quadratic,1.1952052579886014,1.1946542911016644,0.009902442873359856,666,ROBUST_NONLINEAR
Economics,Great Gatsby Curve,83,0.238230555069633,0.6268221480252825,0.6098893923940936,linear,linear,0.17283911564648066,0.1743001429273527,0.1414528500753129,5,NOT_SIGNIFICANT
Economics,Balassa-Samuelson Effect,177,0.6005547705726346,0.4394182883065294,0.015305888710381188,log,log,1.3614788336858747,1.3777848242771922,1.1830682931945935,1,NOT_SIGNIFICANT
Public Health,Preston Curve,199,0.0012709373019326126,0.9715975551495434,0.9452915139141721,linear,linear,3.929758979822502,3.9494577647948046,0.057517686995993335,10,NOT_SIGNIFICANT
Public Health,Easterlin Paradox,159,61.336261156564426,6.918909889463976e-13,3.5555724475777595e-08,log,log,0.856349703374259,0.7219389526261399,0.4480235299152219,7,ROBUST_NONLINEAR
Public Health,McKeown Thesis (TB Mortality),15,50.9722950142716,1.1812799879606928e-05,0.00036391107973854364,quadratic,quadratic,195.24381291520763,104.69317495779057,1.4007723582228948,1,ROBUST_NONLINEAR
