citation_key,authors,year,title,journal,doi,topic,specific_claim_supported,primary_source_verified,keep_yes_no
whittaker1960,"Whittaker, R. H.",1960.0,"Vegetation of the Siskiyou Mountains, Oregon and California",Ecological Monographs,10.2307/1948435,beta_fundamentals,beta diversity as compositional variation,yes,yes
tuomisto2010a,"Tuomisto, Hanna",2010.0,A diversity of beta diversities: straightening up a concept gone awry. Part 2. Quantifying beta diversity and related phenomena,Ecography,10.1111/j.1600-0587.2009.06148.x,beta_fundamentals,beta diversity is a family of distinct concepts,yes,yes
tuomisto2010b,"Moreno, Claudia E.; Rodríguez, Pilar",2010.0,A consistent terminology for quantifying species diversity?,Oecologia,10.1007/s00442-010-1591-7,beta_fundamentals,terminology,yes,yes
baselga2010,"Baselga, Andrés",2009.0,Partitioning the turnover and nestedness components of beta diversity,Global Ecology and Biogeography,10.1111/j.1466-8238.2009.00490.x,beta_fundamentals,turnover vs nestedness partition,yes,yes
baselga2012,"Baselga, Andrés",2012.0,"The relationship between species replacement, dissimilarity derived from nestedness, and nestedness",Global Ecology and Biogeography,10.1111/j.1466-8238.2011.00756.x,beta_fundamentals,Jaccard family decomposition,yes,yes
anderson2011,"Anderson, Marti J.; Crist, Thomas O.; Chase, Jonathan M.; Vellend, Mark; Inouye, Brian D.; Freestone, Amy L.",2010.0,Navigating the multiple meanings of β diversity: a roadmap for the practicing ecologist,Ecology Letters,10.1111/j.1461-0248.2010.01552.x,beta_fundamentals,beta-diversity roadmap,yes,yes
legendre2014,"Legendre, Pierre",2014.0,Interpreting the replacement and richness difference components of beta diversity,Global Ecology and Biogeography,10.1111/geb.12207,beta_fundamentals,replacement vs richness difference,yes,yes
kraft2011,"Kraft, Nathan J. B.; Comita, Liza S.; Chase, Jonathan M.; Sanders, Nathan J.; Swenson, Nathan G.; Crist, Thomas O.",2011.0,Disentangling the Drivers of β Diversity Along Latitudinal and Elevational Gradients,Science,10.1126/science.1208584,gamma_beta,species-pool size affects turnover,yes,yes
chase2011,"Chase, Jonathan M.; Kraft, Nathan J. B.; Smith, Kevin G.; Vellend, Mark; Inouye, Brian D",2011.0,Using null models to disentangle variation in community dissimilarity from variation in α-diversity,Ecosphere,10.1890/es10-00117.1,gamma_beta,null models for pool-size effects,yes,yes
chase2018,"Chase, Jonathan M.; McGill, Brian J.; McGlinn, Daniel J.; May, Felix; Blowes, Shane A.; Xiao, Xiao",2018.0,Embracing scale‐dependence to achieve a deeper understanding of biodiversity and its change across communities,Ecology Letters,10.1111/ele.13151,gamma_beta,scale dependence of diversity comparisons,yes,yes
