oid,sfm,lng,lat,nam,aka,noc,oei,eag,lag,aut,pby,rid,cc2,stp,prc,gsc,ggc,pm1,gpl,ps1,pln,pla,ssc,scm,ldc,lt1,la1,ff1,env,gcm,cps,tpm,tpq,pcm,cct,ccx,ccv,ccc,ccd,rgp,altv,altu,cpb,tpf,ccu,cpa,tps,tpt,lt2,cpt,tpc,tpo,tpb,tpe,lm1,ff2,lm2,smb,lf1,ccm,la2,cpc,acm,tcm,ccs,tpl,tpr,ccr,sls,slb,slu,slo,cpd,tpa,cny
col:13108,Nemegt,99.599998,43.540001,Bugin Tsav [AMNH],Buguin-Tzav,8,Maastrichtian,72.2,66,Perle et al.,1994,ref:4373,MN,Omnogov,__,small collection,"Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia",gplates,628,mid,93.05,36.26,group of beds,age based on biostratigraphy; no absolute or correlative dating available for most Late Cretaceous Mongolian beds,"variegated, predominately red sandstones",sandstone,red,Y,terrestrial indet.,no information given,macrofossils,body,good,no details given,taxonomic,"selective quarrying,mechanical,field collection",some macrofossils,AMNH,1990s,vertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:13347,Nemegt,99.926941,43.720554,"Haichin Ula I [SMGE, SMPE] (PIN coll. 4230)","Khaichin Ula, Soviet-Mongolian Geological Expedition, Khaychin-Ula",4,Maastrichtian,72.2,66,Sochava,1969,ref:61563,MN,Ovorhangai,__,small collection,"Trainsaltaian Gobi, a few km S of Haichin Ula (= Khaychin-Ula) Mtn.",gplates,628,mid,93.27,36.5,group of beds,"""correspond stratigraphically to the top layers of the Bugin-Tsab section""",,sandstone,red,Y,terrestrial indet.,,mesofossils,body,,,taxonomic,"surface (float),surface (in situ),field collection",,"SMGE, SMPE","1967-1968, 1981–1983",vertebrate,911,meters,many,frequent,PIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:37003,Nemegt,101.044724,43.529167,"Nemegt, Northern Sayr, site 14 [PMPE]","Polish-Mongolian Palaeontological Expeditions, Nem014",1,Maastrichtian,72.2,66,Gradzinski and Jerzykiewicz,1972,ref:10453,MN,Omnogov,__,small collection,"Northern Sayr, Nemegt locality, Nemegt basin, Omnogov (southern Mongolia)",gplates,628,mid,94.3,36.54,bed,"upper part of ""upper beds"" = Nemegt Fm","""gravels""",conglomerate,,Y,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,mechanical,field collection",,PMPE,1970,vertebrate,1500,meters,many,occasional,,many,parautochthonous,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:37005,Nemegt,100.455276,43.602501,"Altan Ula IV, site 4 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU4004, Altan Uul",1,Maastrichtian,72.2,66,Kielan-Jaworowska,1966,ref:9902,MN,Omnogov,__,small collection,"Altan Ula IV, 40 km W of Nemegt",gplates,628,mid,93.77,36.49,bed,"""upper Nemegt beds"" = Nemegt Fm.",,conglomerate,,Y,terrestrial indet.,,macrofossils,body,good,"sauropod: ""probably the dead animal had been subjected to the action of carrion feeders, as shown by traces of gnawing visible on its bones, especially on the pelvis and the right femur. The skeleton displayed a passive position, characterized by a ventral attitude and splayed limbs...The transportation of the body by floating must have been stil very short.""",taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,Gradzinski & PMPE,1965,vertebrate,,,many,occasional,,many,autochthonous,snapshot,sandstone,tooth marks,dispersed,life position,frequent,none,,,,,,,,,,,,,,,,,,,,,
col:37006,Nemegt,100.483612,43.572498,"Altan Ula III, site 1 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU3001",2,Maastrichtian,72.2,66,Kielan-Jaworowska,1966,ref:9902,MN,Omnogov,__,small collection,"Altan Ula III, 40 km W of Nemegt, Omnogov (southern Mongolia)",gplates,628,mid,93.8,36.47,bed,"upper Nemegt beds = Nemegt Fm., low in formation",,sandstone,,Y,terrestrial indet.,,macrofossils,"body,soft parts",good,soft-tissue preservation associated with ankylosaur specimen ZPAL MgD I/113.,taxonomic,"selective quarrying,mechanical,field collection",,Skarzynski & PMPE,"1965, 1971",vertebrate,,,some,occasional,,,autochthonous,snapshot,sandstone,,dispersed,,,,conglomeratic,,,,,,,,,,,,,,,,,,,,
col:37007,Nemegt,100.374809,43.44128,"Tsagan Hushu, site 5 [PMPE]","Polish-Mongolian Palaeontological Expedition, Tsagan Ula, Tsagan Khushu, TsKh005",2,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,"Tsagan Hushu (= Tsagan Ula, Tsagan Khushu, Tsagan-ushu), Omnogov (southern Mongolia)",gplates,628,mid,93.75,36.32,bed,,,sandstone,fine,Y,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,Dovchin & PMPE,1964,vertebrate,,,,,,many,parautochthonous,snapshot,,,,life position,,,,,,,,,,,,,,,,,,,,,,,
col:37010,Nemegt,101.052498,43.502499,"Nemegt, Central Sayr, site 1 [PMPE]","Polish-Mongolian Palaeontological Expeditions, Nem001",2,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,"W of Great Pyramid, Nemegt (= Nemegetu) locality, Nemegt Basin, Omnogov (southern Mongolia)",gplates,628,mid,94.32,36.51,group of beds,"lower part of Nemegt Formation (= Upper Nemegt beds here), just above the Passage Series and at top of them as well","""light sandstone with gravel""",sandstone,white,Y,terrestrial indet.,,"macrofossils,mesofossils,microfossils",body,poor,,general faunal/floral,"selective quarrying,mechanical,field collection",,Borsuk-Bilaynicka & PMPE,1964,vertebrate,1500,meters,,occasional,,many,parautochthonous,snapshot,mudstone,,,life position,,,conglomeratic,Y,,,,,,,,,,,,,,,,,,,
col:37011,Nemegt,100.363052,43.481945,"Tsagan Hushu, site 2 [PMPE]","Polish-Mongolian Palaeontological Expedition, Tsagan Ula, Tsagan Khushu, TsKh002",1,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,MN,Omnogov,__,small collection,"Tsagan Ula (= Hushu/Ushu/Khusku), Omnogov",gplates,628,mid,93.73,36.36,bed,near top of section,,conglomerate,,Y,terrestrial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",,G. Jakubowski & PMPE,1964,vertebrate,,,some,occasional,,some,parautochthonous,snapshot,mudstone,,dispersed,,,,silty,Y,,,,,,,,,,,,,,,,,,,
col:37019,Nemegt,101.275002,43.491669,Omnogov,,3,Maastrichtian,72.2,66,Kielan-Jaworowska and Barsbold,1972,ref:9899,MN,Omnogov,__,outcrop,"Nemegt, Nemegt Basin, Omnogov",gplates,628,mid,94.52,36.55,formation,Upper Nemegt Beds = Nemegt Fm.,,not reported,,,terrestrial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,mechanical,field collection",,PMPE 3,1970,vertebrate,1500,meters,,frequent,,,,,,,concentrated,life position,,,,,,,,,,,,,,,,,,,,,,,
col:37020,Nemegt,100.456665,43.601665,"Altan Ula IV, general [PMPE]",Polish-Mongolian Palaeontological Expeditions,7,Maastrichtian,72.2,66,Kielan-Jaworowska and Barsbold,1972,ref:9899,MN,Omnogov,__,outcrop,"Altan Ula IV - no specifics given, 50 km W of Nemegt, Omnogov",gplates,628,mid,93.77,36.49,formation,,,not reported,,,terrestrial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",,PMPE,1970-1971,vertebrate,1640,meters,some,occasional,,some,parautochthonous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
