Number,Label,Authors,Year,First appearance,Context
"1","demontjoye","de Montjoye et al., 2013","2013","1. Introduction","Shared micromobility - dockless electric scooters and bicycles rented through a smartphone application - has become a visible class of connected devices that organizations and the public use but do..."
"2","elzer","Elzer et al., 2025","2025","1. Introduction","Shared micromobility - dockless electric scooters and bicycles rented through a smartphone application - has become a visible class of connected devices that organizations and the public use but do..."
"3","gossling","Gossling, 2020","2020","1. Introduction","Transport economics and management scholarship has examined how cities regulate, permit, and integrate e-scooter and bikeshare operators [3,4] and how the governance of smart mobility shifts..."
"4","button","Button et al., 2020","2020","1. Introduction","Transport economics and management scholarship has examined how cities regulate, permit, and integrate e-scooter and bikeshare operators [3,4] and how the governance of smart mobility shifts..."
"5","docherty","Docherty et al., 2018","2018","1. Introduction","Transport economics and management scholarship has examined how cities regulate, permit, and integrate e-scooter and bikeshare operators [3,4] and how the governance of smart mobility shifts..."
"6","pangbourne","Pangbourne et al., 2020","2020","1. Introduction","Transport economics and management scholarship has examined how cities regulate, permit, and integrate e-scooter and bikeshare operators [3,4] and how the governance of smart mobility shifts..."
"7","hart","Hart et al., 1997","1997","1. Introduction","Transport economics and management scholarship has examined how cities regulate, permit, and integrate e-scooter and bikeshare operators [3,4] and how the governance of smart mobility shifts..."
"8","cottrill","Cottrill, 2020","2020","1. Introduction","Transport economics and management scholarship has examined how cities regulate, permit, and integrate e-scooter and bikeshare operators [3,4] and how the governance of smart mobility shifts..."
"9","vinayaga2022","Vinayaga-Sureshkanth et al., 2022","2022","1. Introduction","Security research on shared micromobility has grown quickly but unevenly. Studies span privacy measurement of rental applications, firmware and protocol attacks on scooters, location-spoofing..."
"10","espoofer","Casagrande et al., 2023","2023","1. Introduction","Security research on shared micromobility has grown quickly but unevenly. Studies span privacy measurement of rental applications, firmware and protocol attacks on scooters, location-spoofing..."
"11","yilmaz2023","Yilmaz & Karsligil, 2023","2023","1. Introduction","Security research on shared micromobility has grown quickly but unevenly. Studies span privacy measurement of rental applications, firmware and protocol attacks on scooters, location-spoofing..."
"12","hilgert","Hilgert et al., 2021","2021","1. Introduction","Security research on shared micromobility has grown quickly but unevenly. Studies span privacy measurement of rental applications, firmware and protocol attacks on scooters, location-spoofing..."
"13","iotreuse","Liu et al., 2023","2023","1. Introduction","A second gap concerns exposure that persists across the device lifecycle. Attention typically concentrates on real-time position during a rental, yet information created at deployment, maintenance,..."
"14","remanence","Joshi & Raval, 2018","2018","1. Introduction","A second gap concerns exposure that persists across the device lifecycle. Attention typically concentrates on real-time position during a rental, yet information created at deployment, maintenance,..."
"15","leaky","Marchiori et al., 2025","2025","1. Introduction","A second gap concerns exposure that persists across the device lifecycle. Attention typically concentrates on real-time position during a rental, yet information created at deployment, maintenance,..."
"16","bms","Basic et al., 2023","2023","1. Introduction","A second gap concerns exposure that persists across the device lifecycle. Attention typically concentrates on real-time position during a rental, yet information created at deployment, maintenance,..."
"17","prisma_scr","Tricco et al., 2018","2018","1. Introduction","This article addresses both gaps with an empirical, reproducible package rather than a conceptual argument. We bridge transport management and connected-device data governance by (i) conducting a..."
"18","gbfs_spec","MobilityData, 2024","2024","1. Introduction","This article addresses both gaps with an empirical, reproducible package rather than a conceptual argument. We bridge transport management and connected-device data governance by (i) conducting a..."
"19","arksey","Arksey & O'Malley, 2005","2005","2.1. Design and reporting","The study combines three prespecified components: a scoping review (work package WP1), a cross-sectional field audit of public GBFS feeds (WP2), and a structured disclosure audit of public operator..."
"20","gbfs_registry","MobilityData, 2026","2026","Table 1","GBFS systems catalogue and live feeds [18,20]"
"21","mds_privacy","Open Mobility Foundation, 2021","2021","Table 1","Operator privacy notices; governance guidance [21,22]"
"22","edpb_cv","European Data Protection Board, 2021","2021","Table 1","Operator privacy notices; governance guidance [21,22]"
"23","grade_indirectness","Guyatt et al., 2011","2011","2.2. Scoping review (WP1)","Records marked include or uncertain were sought for full-text assessment. Each retrieved study was classified by evidence distance: D4, direct target-domain empirical evidence; D3, direct target-..."
"24","nist88","Kissel et al., 2014","2014","2.4. Public-document disclosure audit (WP3)","Operators were selected from the audited GBFS population by a prespecified rule: eligible motorized systems were grouped by normalized operator website domain, and the 15 domains with the largest..."
"25","nist161","Boyens et al., 2022","2022","2.4. Public-document disclosure audit (WP3)","Operators were selected from the audited GBFS population by a prespecified rule: eligible motorized systems were grouped by normalized operator website domain, and the 15 domains with the largest..."
"26","eu_battery","European Parliament and Council, 2023","2023","2.4. Public-document disclosure audit (WP3)","Operators were selected from the audited GBFS population by a prespecified rule: eligible motorized systems were grouped by normalized operator website domain, and the 15 domains with the largest..."
