prefecture,audit_rate_per_10000_points,audit_rate_pct
北海道,29.451426224693712,0.2945142622469371
青森県,17.215041329696657,0.17215041329696656
岩手県,18.922437905960336,0.18922437905960338
宮城県,14.078115246876186,0.14078115246876186
秋田県,10.812803227118012,0.10812803227118012
山形県,15.58490258036987,0.15584902580369872
福島県,19.098630056608798,0.19098630056608798
茨城県,19.17138351639868,0.1917138351639868
栃木県,19.345886321678698,0.19345886321678699
群馬県,14.59073350316449,0.1459073350316449
埼玉県,15.987820395335431,0.1598782039533543
千葉県,26.053591110042017,0.2605359111004202
東京都,22.099323780022328,0.22099323780022329
神奈川県,23.12448022459744,0.2312448022459744
新潟県,10.278211369571862,0.10278211369571862
富山県,10.922125759491372,0.10922125759491372
石川県,21.025618185030698,0.21025618185030698
福井県,18.905230414386526,0.18905230414386526
山梨県,19.450409706663372,0.1945040970666337
長野県,18.06517626117057,0.1806517626117057
岐阜県,15.23315705493403,0.1523315705493403
静岡県,25.006349272176926,0.25006349272176925
愛知県,22.67224930267782,0.2267224930267782
三重県,20.32692430452875,0.20326924304528748
滋賀県,37.331099539886544,0.3733109953988654
京都府,26.829613606177187,0.2682961360617719
大阪府,33.412613863043156,0.33412613863043156
兵庫県,28.722345853700634,0.28722345853700637
奈良県,16.96810829685742,0.1696810829685742
和歌山県,21.67541878739675,0.2167541878739675
鳥取県,24.588109650218072,0.24588109650218073
島根県,20.75207226394037,0.2075207226394037
岡山県,21.87250364139117,0.2187250364139117
広島県,16.58472618831848,0.1658472618831848
山口県,14.558110110971848,0.14558110110971847
徳島県,19.864545865825125,0.19864545865825126
香川県,19.05043524819161,0.1905043524819161
愛媛県,20.63274868550426,0.2063274868550426
高知県,19.157858738604716,0.19157858738604716
福岡県,22.332317300043716,0.22332317300043716
佐賀県,9.356108212114956,0.09356108212114955
長崎県,17.553040534388586,0.17553040534388586
熊本県,21.62966300058793,0.2162966300058793
大分県,17.47093086520054,0.1747093086520054
宮崎県,16.8434728413361,0.16843472841336102
鹿児島県,22.502002426167323,0.22502002426167322
沖縄県,23.585727723790406,0.23585727723790406
