rank,candidate_id,ecosystem,region,resource_layer,predator_layer,estimated_n_events,temporal_resolution,years,simultaneous_layers,open_access,raw_score,penalty,final_score,major_strength,major_weakness
1,seatrack-sandeel,NE Atlantic sandeel-seabird,North Sea / Norwegian Sea,sandeel acoustic survey + dredge indices (annual),kittiwake/puffin/fulmar GPS+GLS tracks,~10 (annual breeding/sandeel availability windows),~30-60 min GPS,>10,"partial - sandeel survey annual, tracks seasonal",yes,16,0,16,long multi-colony GPS panel + open sandeel surveys,events effectively annual (~1/yr)
2,calCofi-cps-predator,California Current upwelling-forage,CCS,anchovy/sardine acoustic-trawl biomass,none in same repo (pair with TOPP tracks),>=20 upwelling pulses/yr possible,survey ~annual/quarterly,>20,yes within survey windows,yes,15,0,15,>=20 repeated upwelling pulses + direct prey acoustics,predator layer requires TOPP fusion
3,TOPP,California Current / N Pacific pelagic,Eastern N Pacific,CalCOFI/SWFSC CPS acoustic-trawl surveys; forage fish indices (partially open),tagged tunas/sharks/turtles/pinnipeds/seabirds,">=20 (annual upwelling pulses, eddies, MHW onset)",daily SSM positions,10,env yes; prey partially (surveys not concurrent at fix scale),yes,17,3,14,many independent env events + hundreds of multi-guild tracks,"prey layer is survey indices, not concurrent biomass at track scale"
4,california-ecomega,CCS ecosystem mega-transects,California Current,krill/forage acoustic,seabird+mammal at-sea counts,~10-15 survey windows + upwelling events,survey ~annual,>15,yes within cruises,partial,14,0,14,simultaneous 3-layer ship surveys,raw counts via request; annual
5,south-georgia-krill-predators,Southern Ocean krill-predator,South Georgia / Scotia Sea,"krill acoustic biomass surveys (CCAMLR, episodic)",macaroni/chinstrap penguin PTT; fur seal tracking,~10-15 (annual breeding-season krill arrival/ice-edge events),~hourly GPS / daily Argos,>10,partial - krill surveys not always concurrent with tracks,yes (PDC); CCAMLR krill data partially,16,3,13,"true 3-level chain, hourly telemetry",krill biomass rarely concurrent with tracks
6,ant-peninsula-gentoo,Antarctic Peninsula gentoo-krill,WAP,krill inferred (not measured),gentoo penguin GPS,~5,~min-hourly,~5,no prey layer,yes,16,3,13,"high-res GPS, open",no concurrent prey measurement
7,scotia-sea-krill-penguin,Scotia Sea krill-penguin/seal,Scotia Sea/South Georgia,"krill acoustic (episodic, some public)",penguin/seal GPS-PTT,~10,hourly,>15,partial,partial,15,3,12,3-level polar chain,concurrent krill sparse
8,meop-southern,Southern Ocean seal-ocean,Southern Ocean,none direct (prey inferred),elephant/fur seal tracks,eddies/front crossings numerous,~hourly dives,>15,no direct prey,yes,17,6,11,hourly in-situ env + predator,no prey layer
9,benguela-sardine-gannet,Benguela sardine-predator,Namibia/S Africa,sardine/anchovy acoustic surveys (annual),Cape gannet GPS tracks,~8-10 (annual prey availability episodes),~min GPS,~10,partial,partial,13,3,10,high-res GPS + direct prey surveys,prey annual only
10,davoren-capelin,capelin-seabird pilot B,coastal Newfoundland,weekly hydroacoustic fish biomass,weekly seabird counts same transect,10,weekly,10,yes weekly,yes (Anubis-protected),12,3,9,"simultaneous prey+predator, prey-defined events",weekly; 1 pulse/yr; single site
11,palmyra-pilot,atoll multi-species telemetry,Palmyra Atoll,chl field only (indirect prey),9 species telemetry,22 chl events,subhourly-daily,1.3,yes,yes,14,5,9,multi-species telemetry + env,indirect prey; ~1 seasonal cycle
12,eddy-tuna,mesoscale eddy pelagic,global oceans,none direct,tuna/shark tracks,many eddy passages,daily,>10,no prey layer,partial,14,6,8,many repeated eddy events,no prey layer - fails trophic criterion
13,herring-cod-norway,Norwegian herring-cod/whale,Norwegian Sea,NSS herring acoustic biomass,cod/whale survey+diet data,~10-20 annual pulses,annual surveys,>20,yes annually,limited,12,5,7,"20+ yr surveys, simultaneous layers",annual resolution
14,gbr-shark-herbivore,reef herbivore-shark,Great Barrier Reef,benthic/fish monitoring (AIMS LTMP),reef shark acoustic arrays,~10 bleaching/cyclone pulses,daily detections,>20,partial,partial,13,6,7,"3-layer reef, long monitoring",prey monitoring coarse
15,gulf-of-maine-herring-whale,GoM herring-whale,Gulf of Maine,herring acoustic biomass,whale sightings/tracking,~10,annual survey,>20,yes,partial,11,5,6,20+ yr simultaneous surveys,annual; access request
16,esas-northsea,North Sea seabird-at-sea + sandeel,North Sea,sandeel acoustic+dredge surveys,seabird at-sea survey counts,~10-20,episodic surveys,>30,yes within survey windows,partial,13,8,5,30+ yr predator survey + prey surveys,irregular surveys; access forms
17,peru-anchoveta-seabird,Humboldt upwelling anchoveta,Peru/N Chile,anchoveta acoustic surveys,guano seabird censuses (annual),~10 (Nino/collapse episodes),survey annual; predator annual,>40,yes annually,limited,13,8,5,"strong natural contrast (El Nino), 40+ years",predator sampling annual; data-request access
18,whaleshark-zooplankton,whale shark-zooplankton aggregations,Indian Ocean/tropical,zooplankton tows (episodic),whale shark satellite tracks,~5-10 aggregation events,daily,>10,rarely concurrent,partial,10,6,4,aggregation events,prey episodic
19,north-pacific-salmon-kw,salmon-killer whale,NE Pacific,Chinook salmon CPUE/telemetry,killer whale occurrence,~10 seasonal salmon runs,daily-weekly,>15,partial,limited,12,8,4,iconic 2-layer chain,restricted predator data
20,imos-aatams,Australian shelf predator,Australia,none direct,"sharks, seals, turtles, fish acoustic+satellite","many environmental, no prey events",detection-level to daily,>15,no prey layer,yes,14,11,3,"huge telemetry archive, open",no prey layer
21,krillbase-whale,Southern Ocean krill-whale,circumpolar,historical krill density net samples,whale/seal telemetry compilations,few contemporaneous,episodic,long but asynchronous,no - krill samples and tracks mostly different decades,yes,13,10,3,circumpolar prey database,layers not contemporaneous
22,otn-atlantic,NW Atlantic shelf,W Atlantic,partial (forage indices),"salmon, sharks, sturgeon, mammals tags",unknown,detection-level,>15,partial,limited,12,11,1,large acoustic arrays,restricted access
23,palmyra-like-french-polynesia,atoll/reef multi-species,French Polynesia,none direct,sharks/rays telemetry,many env events,daily,>10,no prey,partial,9,11,-2,multi-year predator telemetry,no prey layer
