title,year,doi,url,venue,authors,work_type,query_ids,source_apis
Image Denoising Techniques for Cybersecurity and Forensic Applications,2024,10.4018/979-8-3373-0588-2.ch005,https://doi.org/10.4018/979-8-3373-0588-2.ch005,"Advances in Information Security, Privacy, and Ethics",Hewa Majeed Zangana; Firas Mahmood Mustafa,book-chapter,Q02,Crossref
In the time loop: Data remanence in main memory of virtual machines,2024,10.1016/j.fsidi.2024.301758,https://doi.org/10.1016/j.fsidi.2024.301758,Forensic Science International: Digital Investigation,Ella Savchenko; Jenny Ottmann; Felix Freiling,journal-article,Q05,Crossref
Index,2024,10.1016/b978-0-443-15543-7.09996-9,https://doi.org/10.1016/b978-0-443-15543-7.09996-9,Advances in Lithium-Ion Batteries for Electric Vehicles,,book-chapter,Q15,Crossref
Injury severity analysis of single-vehicle and two-vehicle crashes with electric scooters: A random parameters approach with heterogeneity in means and variances,2024,10.1016/j.aap.2023.107408,https://doi.org/10.1016/j.aap.2023.107408,Accident Analysis &amp; Prevention,Dongsheng Gao; Xiaoqiang Zhang,journal-article,Q16,Crossref
Integrated and Shared Charging Optimization of Electric Buses and Shared Micromobility Incorporating Solar Photovoltaic,2024,10.2139/ssrn.5004784,https://doi.org/10.2139/ssrn.5004784,,Xiaohan Liu; Kun Gao; Arsalan Najafi,posted-content,Q01,Crossref
Integrating Artificial Intelligence in Cybersecurity and Forensic Practices,2024,10.4018/979-8-3373-0588-2,https://doi.org/10.4018/979-8-3373-0588-2,"Advances in Information Security, Privacy, and Ethics",,edited-book,Q02,Crossref
Integration of Shared Micromobility into Public Transit: A Systematic Literature Review with Grey Literature,2024,10.3390/su16093557,https://doi.org/10.3390/su16093557,Sustainability,Can Cui; Yu Zhang,journal-article,Q01,Crossref
Introduction to Artificial Intelligence in Cybersecurity and Forensic Science,2024,10.4018/979-8-3373-0588-2.ch001,https://doi.org/10.4018/979-8-3373-0588-2.ch001,"Advances in Information Security, Privacy, and Ethics",Hewa Majeed Zangana; Marwan Omar; Derek Mohammed,book-chapter,Q02,Crossref
Investigating Factors Influencing the Selection of Micro-Mobility in a Tourist City: Focus on Jeju City,2024,10.3390/su16219418,https://doi.org/10.3390/su16219418,Sustainability,Hyunmin Kang; Heejung Yim; Seoyoung Kim; Okkeun Lee; Hyo Chang Kim,article,Q04,OpenAlex
Investigating the Acceptance of Shared Autonomous Micromobility Systems: Evidence from Four Cities in the United States,2024,10.2139/ssrn.4824820,https://doi.org/10.2139/ssrn.4824820,,Myriam Zakhem; Janille Smith-Colin,posted-content,Q01,Crossref
Investigation of a Hybrid-Electric Scooter and Computational Fluid Dynamics Analysis of its Battery Pack Cooling System,2024,10.14445/23497157/ijres-v11i4p118,https://doi.org/10.14445/23497157/ijres-v11i4p118,International Journal of Recent Engineering Science,Bheru Lal Salvi; Jay Upadhyay,journal-article,Q03,Crossref
IOT Based Battery Monitoring System For Electric Vehicle,2024,10.58257/ijprems32880,https://doi.org/10.58257/ijprems32880,International Journal of Progressive Research in Engineering Management and Science,,journal-article,Q03,Crossref
