registry_row,country_code,name,location,system_id,website_domain,auto_discovery_domain,supported_versions,authentication_type,auto_discovery_status,auto_discovery_sha256,declared_version,feed_names,has_vehicle_status,vehicle_status_status,vehicle_status_sha256,vehicle_count,vehicle_field_names,has_vehicle_id,has_location_fields,has_last_reported,has_battery_percent,has_range,has_deep_link,vehicle_types_status,vehicle_types_sha256,vehicle_type_count,form_factors,propulsion_types,motorized_declared,fetched_at_utc,error_stage,error_message
1,AE,Careem BIKE,Dubai,careem_bike,careem.com,careem.publicbikesystem.net,1.1 ; 2.3 ; 3.0,,200,076462b2089930518559a8b881129e2c996d5a0920a2607c5201a5f4f1095076,3.0,gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;system_regions;vehicle_types,false,,,,,false,false,false,false,false,false,200,d7490c4f2b76ecb84f175d8001391f069165bb299985730f59e178a288ce2290,11,bicycle;scooter_standing,electric;electric_assist;human,true,2026-07-13T15:57:59.121920+00:00,,
2,AE,Dott Abu Dhabi,Abu Dhabi,dott-abu-dhabi,ridedott.com,gbfs.api.ridedott.com,2.3,,200,1c4e65fc13f87e5af4bd4d262eb0df5c561e72ea609d7c2f8fe63069c827d907,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,a21628562eea5a5fa76d3321671ab5934844f571b8cc37255aa27f522fce54c5,776,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,427a2fa38b634788fe2e2fcd35b3f729ef2c81364a457b44520a8de8c9dde963,1,scooter,electric,true,2026-07-13T15:57:59.122188+00:00,,
3,AE,Dott Dubai,Dubai,dott-dubai,ridedott.com,gbfs.api.ridedott.com,2.3,,200,7a93b9dace8ad8bbe71203d856c29f225c75f636580076d9fa1e09945387f908,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,cdc0407fd7ad31361f4f00a0973405e6e1ccbf9849492cc2f3088e5732ff9bb1,1748,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,75ffe0e4b7da4700b5a52cfd2351e3547649b030d16f98ab27de8366fa180800,2,bicycle;scooter,electric;electric_assist,true,2026-07-13T15:57:59.123766+00:00,,
4,AE,Dott Dubai Hills,Dubai,dott-dubai-hills,ridedott.com,gbfs.api.ridedott.com,2.3,,200,59586744533da03f8958e5b47b0f7a69f362e6faabc84ef0e592a9dcc3d76642,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,f410a271dd8eaf21a1dcc11be4723dbcb38d2298763dbb76f6a66e31455f3262,91,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,7c1af37f211a9adb474d3bd9b024e29453f3425d923435793780f0cce087819a,2,bicycle;scooter,electric;electric_assist,true,2026-07-13T15:57:59.124459+00:00,,
5,AE,Dott Ras Al Khaimah,Ras Al Khaimah,dott-ras-al-khaimah,ridedott.com,gbfs.api.ridedott.com,2.3,,200,d93a8154d655e28b242a001f23c5006f0bd24dcd9eed3bc8b04ce0a5cda1f355,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,d7fb5c172998eb3181173a98127d52700e1029f5b60530e7069a908d5e647f45,38,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,29ba82a36144b68e0dca852d6181be14e93d63040e93a4eca6ab2f7ded0e9623,2,bicycle;scooter,electric;electric_assist,true,2026-07-13T15:57:59.125400+00:00,,
6,AE,Dott Sharjah,Sharjah,dott-sharjah,ridedott.com,gbfs.api.ridedott.com,2.3,,200,fcb1e2810b96feaf3ceae55b781b2f1fbe5456e782efe9874b9d4c3d9e3dcf9d,2.3,free_bike_status;gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;vehicle_types,true,200,ff301d14bbe4a382814541d9718aaa9499bb0f24d7ac28e7d58a723f442e3411,3,bike_id;current_fuel_percent;current_range_meters;is_disabled;is_reserved;last_reported;lat;lon;pricing_plan_id;rental_uris;vehicle_type_id,true,true,true,true,true,true,200,b0c9dd8c3908be5b1daf43f60a9b77d25df4b7ff8012b15190aa7cfe248d1a85,2,bicycle;scooter,electric;electric_assist,true,2026-07-13T15:57:59.126826+00:00,,
7,AE,Yaldi,Dubai,511,yaldi.ae,yaldi.rideatom.com,2.2 ; 3.0,,,,,,false,,,,,false,false,false,false,false,false,,,,,,false,2026-07-13T15:57:59.127785+00:00,auto_discovery,RuntimeError: URLError: <urlopen error [Errno -2] Name or service not known>
8,AR,Bike Nordelta,Buenos Aires,bike_nordelta,bikeitau.com.br,nordelta.publicbikesystem.net,1.1 ; 2.3 ; 3.0,,200,d4b638aef5bec3c91f862e1f94323be9a2cfab0406104352ea10491fd8e99d81,3.0,gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;system_regions;vehicle_types,false,,,,,false,false,false,false,false,false,200,63044f25a80ff21356319ebf21c09b572a60428bd92c9ed69d45aa2825f51c93,8,bicycle;scooter_standing,electric;electric_assist;human,true,2026-07-13T15:57:59.128985+00:00,,
9,AR,Ecobici,Buenos Aires,bike_buenosaires,buenosaires.gob.ar,buenosaires.publicbikesystem.net,1.1 ; 2.3 ; 3.0,,200,e031df70e8823b0c9d8bc8be56a9cf39f8330177dc7e2ba073c5d300fb4b5091,3.0,gbfs_versions;geofencing_zones;station_information;station_status;system_information;system_pricing_plans;system_regions;vehicle_types,false,,,,,false,false,false,false,false,false,200,ec0f93e0f9c6bbc30290ded4272b33040869bb720933335c8b3b238d1074f984,8,bicycle;scooter_standing,electric;electric_assist;human,true,2026-07-13T15:57:59.130766+00:00,,
10,AR,MiBiciTuBici,Rosario,biketobike,mibicitubici.gob.ar,mibicitubici.gob.ar,1.0,,200,e61a03f099e9925de1b58e5c75721c69db04878c4f45215de4a1a467a8a2bfca,,free_bike_status;station_information;station_status;system_information,true,200,daefe03550db5de6820870644c6dc7f7514292f043156e090ea76976bc6a009e,0,,false,false,false,false,false,false,,,,,,false,2026-07-13T15:57:59.131494+00:00,,
