operator_name,jurisdiction,document_status,domain,status,quotation_or_locator
Dott (TIER-Dott),EU,coded,location_data,explicit,"Geolocation and Telemetry Data We collect data on how you use our Vehicles, including ride and geolocation history and telemetry information like braking, swerving, collisions, road surface conditions, speed, chosen path, and weight fluctuations."
Dott (TIER-Dott),EU,coded,trip_time_data,explicit,"Compliance with Legal Requirements Certain types of data, such as trip information or records relevant for tax purposes, are retained for a period of 7 years to comply with legal obligations."
Dott (TIER-Dott),EU,coded,vehicle_identifier,partial,"Additionally, we collect your billing and delivery addresses, email addresses, telephone numbers, and other similar identifiers."
Dott (TIER-Dott),EU,coded,battery_or_diagnostic_data,explicit,"Geolocation and Telemetry Data We collect data on how you use our Vehicles, including ride and geolocation history and telemetry information like braking, swerving, collisions, road surface conditions, speed, chosen path, and weight fluctuations."
Dott (TIER-Dott),EU,coded,maintenance_or_repair_data,explicit,"Business, App, and Vehicle Administration To maintain the integrity of our business, we use your data for troubleshooting, data analysis, testing, system maintenance, support, reporting, and hosting."
Dott (TIER-Dott),EU,coded,account_payment_device_data,explicit,"Financial and Transactional Data We gather information related to your bank account and payment card details (note that we do not retain your full payment card details, which are stored by our trusted third-party payment processor), along with details of transactions and services you have purchased "
Dott (TIER-Dott),EU,coded,analytics_or_profiling,explicit,"Data Analytics Your personal data supports our efforts to enhance our Website, App, Vehicles, marketing, and advertising efforts."
Dott (TIER-Dott),EU,coded,retention,explicit,"Data Retention at TIER-Dott At TIER-Dott, we are committed to handling your personal data responsibly and in compliance with applicable laws and regulations."
Dott (TIER-Dott),EU,coded,processors_or_contractors,explicit,"Financial and Transactional Data We gather information related to your bank account and payment card details (note that we do not retain your full payment card details, which are stored by our trusted third-party payment processor), along with details of transactions and services you have purchased "
Dott (TIER-Dott),EU,coded,international_transfer,explicit,"Adequacy Decisions by the European Commission: We also rely on adequacy decisions made by the European Commission, which determine whether a non-EEA country offers an adequate level of data protection comparable to that within the EU."
Dott (TIER-Dott),EU,coded,user_rights,explicit,"Our commitment to your privacy includes granting you the following rights concerning your personal data: Right to Access Information You are entitled to request an overview of your personal data processed by us, along with a copy of this data, ensuring you’re fully informed about the information we "
