species,mobility_km_day,trophic_level,source,confidence
Common Murre,40,4.1,literature estimate (approximate),LOW
Cassin's Auklet,60,3.5,literature estimate (approximate),LOW
Rhinoceros Auklet,60,3.9,literature estimate (approximate),LOW
Sooty Shearwater,300,4.0,literature estimate (approximate),LOW
Pink-footed Shearwater,300,4.0,literature estimate (approximate),LOW
Northern Fulmar,250,3.8,literature estimate (approximate),LOW
Western Gull,40,3.9,literature estimate (approximate),LOW
Brandt's Cormorant,20,4.1,literature estimate (approximate),LOW
Black-footed Albatross,400,4.2,literature estimate (approximate),LOW
Red-necked Phalarope,200,3.4,literature estimate (approximate),LOW
California Gull,50,3.9,literature estimate (approximate),LOW
Pigeon Guillemot,10,4.0,literature estimate (approximate),LOW
