p_dominant,delta_beta_obs_mean,lo95,hi95,prop_negative
0.0,-0.02297345705679331,-0.032481694077333936,-0.014698763472215427,1.0
0.1,-0.022020208842195486,-0.03271991178639454,-0.012409113481030925,1.0
0.2,-0.024338600399546335,-0.0350849520085276,-0.015560092714925386,1.0
0.3,-0.03365304950944093,-0.04737738657250087,-0.02256710459549392,1.0
0.4,-0.050303799802366746,-0.0668493088434334,-0.0333630819985762,1.0
0.5,-0.0714230376930728,-0.09472920516790974,-0.053258497105733,1.0
0.6,-0.09992482255488114,-0.1271567479658045,-0.0751320859086043,1.0
0.7,-0.1330553596101154,-0.16252187480619693,-0.10487745107763274,1.0
0.8,-0.17003649864882908,-0.19737580237663813,-0.14439197940787699,1.0
0.9,-0.2102022717924192,-0.24069791528393294,-0.18548626059730475,1.0
