unit,metric,beta_H,beta_P,delta_beta
collection,simpson,0.6354357280049916,0.0920767996687885,-0.5433589283362031
collection,sorensen,0.7843337074672846,0.23519293072157532,-0.5491407767457093
collection,jaccard,0.838012767089253,0.28827914180732067,-0.5497336252819323
grid_50km,simpson,0.4474795863858364,0.06719224924012158,-0.38028733714571483
grid_50km,sorensen,0.7126030850108365,0.3098441944186625,-0.40275889059217396
grid_50km,jaccard,0.7962852612482546,0.3919357902735563,-0.4043494709746983
grid_100km,simpson,0.43287864104237833,0.08602531102531102,-0.3468533300170673
grid_100km,sorensen,0.7163695992795838,0.35169584336251003,-0.36467375591707374
grid_100km,jaccard,0.8001073392345879,0.4410183993517327,-0.3590889398828552
grid_150km,simpson,0.3557029290900259,0.05075396825396825,-0.3049489608360576
grid_150km,sorensen,0.6839147166114117,0.39298170348170347,-0.2909330131297082
grid_150km,jaccard,0.7789526898045822,0.5016507936507937,-0.27730189615378853
