scenario,reference,device,gain_true,offset_true
S1_offset_only,80.54431768162982,93.82595082626311,1.0,12.0
S1_offset_only,81.36703591099622,93.74366520987675,1.0,12.0
S1_offset_only,82.1189923663578,96.39470059192449,1.0,12.0
S1_offset_only,82.59472532420766,91.28306798184983,1.0,12.0
S1_offset_only,82.73062605192635,95.01132506739883,1.0,12.0
S1_offset_only,83.12247017553186,93.9082529649741,1.0,12.0
S1_offset_only,83.30768741093421,94.0324943920087,1.0,12.0
S1_offset_only,84.6640113050714,99.90634415356593,1.0,12.0
S1_offset_only,84.80612655596985,98.30767982504494,1.0,12.0
S1_offset_only,85.49744788926401,96.74883143760857,1.0,12.0
S1_offset_only,85.88039959251985,93.67962478751963,1.0,12.0
S1_offset_only,87.16581886398423,99.58231283446092,1.0,12.0
S1_offset_only,87.26054349782014,100.63747673334105,1.0,12.0
S1_offset_only,88.57113615159402,99.89104062093438,1.0,12.0
S1_offset_only,90.30575457349138,103.94119561302396,1.0,12.0
S1_offset_only,90.43111462249792,103.73591355249964,1.0,12.0
S1_offset_only,90.4815741497235,100.63672133781392,1.0,12.0
S1_offset_only,91.0148754213438,98.57723678251146,1.0,12.0
S1_offset_only,91.92449452788895,103.99280325102698,1.0,12.0
S1_offset_only,92.26994489804675,103.72797291069361,1.0,12.0
S1_offset_only,93.57448250842346,106.7649642792396,1.0,12.0
S1_offset_only,93.79024469582825,102.05212458840288,1.0,12.0
S1_offset_only,93.83274709238869,104.92302521611877,1.0,12.0
S1_offset_only,97.30737371390398,107.8002681284604,1.0,12.0
S1_offset_only,97.61278073181352,108.3163734406506,1.0,12.0
S1_offset_only,97.6419616950054,114.4317599143738,1.0,12.0
S1_offset_only,97.76570224672656,109.99363503637434,1.0,12.0
S1_offset_only,97.8087508654584,110.98385029727612,1.0,12.0
S1_offset_only,97.95530133499172,112.03649805849433,1.0,12.0
S1_offset_only,99.364851773387,113.86611920075808,1.0,12.0
S1_offset_only,99.51670906311676,114.59855274638147,1.0,12.0
S1_offset_only,99.86954133136373,115.36741034793872,1.0,12.0
S1_offset_only,100.4978452602348,107.60991531246339,1.0,12.0
S1_offset_only,101.60673212099528,108.2104399871331,1.0,12.0
S1_offset_only,101.69221383723578,117.91982775413014,1.0,12.0
S1_offset_only,102.40386860109996,115.82035366700838,1.0,12.0
S1_offset_only,103.77417959226344,117.36669653870717,1.0,12.0
S1_offset_only,105.57879204927761,119.77016843781446,1.0,12.0
S1_offset_only,106.46040163969288,111.7086719260792,1.0,12.0
S1_offset_only,106.84644656666646,118.54951493147036,1.0,12.0
S1_offset_only,106.85067908028763,119.74365050030089,1.0,12.0
S1_offset_only,107.28632979503422,122.70320478441863,1.0,12.0
S1_offset_only,107.56597861946682,119.325391163127,1.0,12.0
S1_offset_only,107.6034752635005,119.64028820429874,1.0,12.0
S1_offset_only,108.156179282871,120.9347875839245,1.0,12.0
S1_offset_only,108.46107978068787,115.49173528648993,1.0,12.0
S1_offset_only,108.78974558564563,121.426893131601,1.0,12.0
S1_offset_only,108.87053643937418,117.57174068177396,1.0,12.0
S1_offset_only,110.06436578441402,119.91798038687524,1.0,12.0
S1_offset_only,110.22162927365453,119.78259226541684,1.0,12.0
S1_offset_only,110.2770291537051,118.78167710352211,1.0,12.0
S1_offset_only,110.28144348654556,116.66750995937622,1.0,12.0
S1_offset_only,110.34357414684209,119.25769522562963,1.0,12.0
S1_offset_only,110.64799490744026,121.69177719612532,1.0,12.0
S1_offset_only,111.43601704747434,127.35188275758969,1.0,12.0
S1_offset_only,112.08580271700166,123.83903299746687,1.0,12.0
S1_offset_only,112.7568786632911,125.93211979168137,1.0,12.0
S1_offset_only,113.99876630371656,125.55130660142186,1.0,12.0
S1_offset_only,114.034296799717,125.59532649577436,1.0,12.0
S1_offset_only,116.73488871484727,134.22294673582516,1.0,12.0
S1_offset_only,117.02797236403302,128.8683305404427,1.0,12.0
S1_offset_only,117.75008179075934,128.86900825318008,1.0,12.0
S1_offset_only,117.77704475092648,126.2836042972898,1.0,12.0
S1_offset_only,119.3275225583979,127.13841735530455,1.0,12.0
S1_offset_only,119.86054085465322,134.12854694042622,1.0,12.0
S1_offset_only,120.03187439200322,133.69684658090807,1.0,12.0
