system,fn_hz,zeta,hr,sbp_true,sbp_dev,dbp_true,dbp_dev,map_true,map_dev,pp_true,pp_dev
optimal,25.0,0.65,65.34939458805349,137.31764780519833,138.77161970322248,93.23912333391722,95.15407265093025,106.19488375753384,106.19488375753383,44.07852447128111,43.61754705229224
underdamped,10.0,0.15,65.34939458805349,137.31764780519833,144.4273271526711,93.23912333391722,92.00542996893113,106.19488375753384,106.19488375753383,44.07852447128111,52.42189718373997
overdamped,8.0,0.8,65.34939458805349,137.31764780519833,136.544696820513,93.23912333391722,95.33916954697457,106.19488375753384,106.19488375753383,44.07852447128111,41.20552727353842
optimal,25.0,0.65,75.02419776858699,110.57584453663321,111.11005508763078,72.38994559812295,72.19133928849016,83.61371871988682,83.61371871988682,38.18589893851026,38.91871579914063
underdamped,10.0,0.15,75.02419776858699,110.57584453663321,118.4402919178942,72.38994559812295,72.84951330632026,83.61371871988682,83.6137187198868,38.18589893851026,45.59077861157394
overdamped,8.0,0.8,75.02419776858699,110.57584453663321,107.44611700024386,72.38994559812295,73.20526446663132,83.61371871988682,83.6137187198868,38.18589893851026,34.24085253361254
optimal,25.0,0.65,70.01242108750114,128.6381349612211,127.40551994725274,91.91697438089112,91.3852222997471,102.7102249413966,102.7102249413966,36.72116058032999,36.02029764750564
underdamped,10.0,0.15,70.01242108750114,128.6381349612211,133.0619432627851,91.91697438089112,89.46629683731277,102.7102249413966,102.7102249413966,36.72116058032999,43.595646425472324
overdamped,8.0,0.8,70.01242108750114,128.6381349612211,126.4918691091809,91.91697438089112,91.30600200268356,102.7102249413966,102.7102249413966,36.72116058032999,35.18586710649734
optimal,25.0,0.65,85.4221036330213,101.18885147327246,101.58356757464833,64.70683183697388,65.12185873589706,75.42979300336938,75.42979300336938,36.48201963629859,36.461708838751264
underdamped,10.0,0.15,85.4221036330213,101.18885147327246,109.5084455176884,64.70683183697388,62.565663609747226,75.42979300336938,75.42979300336938,36.48201963629859,46.942781907941175
overdamped,8.0,0.8,85.4221036330213,101.18885147327246,97.92039943763474,64.70683183697388,64.96888864564121,75.42979300336938,75.42979300336938,36.48201963629859,32.95151079199353
optimal,25.0,0.65,72.679810044025,112.5684052788423,111.692378738709,54.92187374130918,55.36304785168693,71.86560452202856,71.86560452202856,57.64653153753313,56.32933088702207
