name,haplotype,pop,region,chrom,start,end,mean_prob,ND_type,Altai,Vindija,Denisova,Chagyrskaya,closest_reference,strict_overlap,segment_length,analysis_group
HG01112,hap2,CLM,AMERICA,chr9,133301000,133578000,0.9646,Neanderthal,40,59,0,54,Vindija,False,277000,Admixed Americas
HG01113,hap1,CLM,AMERICA,chr9,133190000,133217000,0.91442,Neanderthal,1,1,0,3,Chagyrskaya,False,27000,Admixed Americas
HG01114,hap1,CLM,AMERICA,chr9,133301000,133578000,0.9646,Neanderthal,40,59,0,54,Vindija,False,277000,Admixed Americas
HG01119,hap2,CLM,AMERICA,chr9,133481000,133509000,0.80101,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01125,hap2,CLM,AMERICA,chr9,133481000,133511000,0.92274,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01133,hap1,CLM,AMERICA,chr9,133483000,133522000,0.92337,Neanderthal,4,8,0,5,Vindija,False,39000,Admixed Americas
HG01133,hap2,CLM,AMERICA,chr9,133483000,133522000,0.92317,Neanderthal,4,8,0,5,Vindija,False,39000,Admixed Americas
HG01135,hap1,CLM,AMERICA,chr9,133483000,133522000,0.92337,Neanderthal,4,8,0,5,Vindija,False,39000,Admixed Americas
HG01139,hap1,CLM,AMERICA,chr9,133481000,133511000,0.9136,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01140,hap2,CLM,AMERICA,chr9,133130000,133159000,0.91583,Neanderthal,10,10,0,10,Tie,False,29000,Admixed Americas
HG01140,hap2,CLM,AMERICA,chr9,133315000,133377000,0.96461,Neanderthal,28,27,0,29,Chagyrskaya,False,62000,Admixed Americas
HG01148,hap1,CLM,AMERICA,chr9,133481000,133511000,0.92271,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01148,hap2,CLM,AMERICA,chr9,133481000,133509000,0.80101,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01150,hap1,CLM,AMERICA,chr9,133481000,133511000,0.92271,Neanderthal,2,2,0,2,Tie,False,30000,Admixed Americas
HG01272,hap2,CLM,AMERICA,chr9,133190000,133217000,0.91442,Neanderthal,1,1,0,3,Chagyrskaya,False,27000,Admixed Americas
HG01275,hap2,CLM,AMERICA,chr9,133483000,133502000,0.90453,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01276,hap2,CLM,AMERICA,chr9,133483000,133502000,0.90453,Neanderthal,2,6,0,3,Vindija,False,19000,Admixed Americas
HG01277,hap1,CLM,AMERICA,chr9,133301000,133341000,0.97118,Neanderthal,7,10,0,11,Chagyrskaya,False,40000,Admixed Americas
HG01281,hap1,CLM,AMERICA,chr9,133325000,133446000,0.97359,Neanderthal,30,45,0,40,Vindija,False,121000,Admixed Americas
HG01281,hap2,CLM,AMERICA,chr9,133130000,133143000,0.83052,Neanderthal,6,5,0,6,Tie,False,13000,Admixed Americas
HG01284,hap2,CLM,AMERICA,chr9,133481000,133509000,0.90789,Neanderthal,2,2,0,2,Tie,False,28000,Admixed Americas
HG01342,hap1,CLM,AMERICA,chr9,133301000,133379000,0.97328,Neanderthal,26,31,0,31,Tie,False,78000,Admixed Americas
HG01342,hap2,CLM,AMERICA,chr9,133397000,133502000,0.97483,Neanderthal,12,28,0,21,Vindija,False,105000,Admixed Americas
