entity,period,era,region,dominant,stock_index,trade_openness,closure_type,outcome,geo_barrier,external_threat,relative_pop,tech_position,institutional_quality,regime_duration_yrs,has_external_patron
アケメネス朝ペルシア,BC550-BC330,ancient,middle_east,flow,0.4,0.7,none,overtaken,0.4,0.8,0.9,0.5,0.6,220,0
アテネ（ペロポネソス戦争後）,BC404-BC338,ancient,europe,flow,0.45,0.8,none,overtaken,0.5,0.8,0.2,0.6,0.7,66,0
スパルタ,BC800-BC146,ancient,europe,stock,0.65,0.15,maritime_ban,overtaken,0.5,0.7,0.1,0.4,0.7,654,0
カルタゴ,BC814-BC146,ancient,africa,flow,0.35,0.9,none,overtaken,0.5,0.9,0.3,0.6,0.5,668,0
ローマ共和政〜帝政前期,BC509-AD200,ancient,europe,flow,0.55,0.75,none,survived,0.4,0.4,0.9,0.8,0.8,709,0
ローマ帝政後期（西）,AD200-AD476,ancient,europe,stock,0.6,0.35,maritime_ban,overtaken,0.3,0.9,0.5,0.5,0.4,276,0
プトレマイオス朝エジプト,BC305-BC30,ancient,africa,flow,0.55,0.7,none,overtaken,0.6,0.8,0.4,0.6,0.5,275,0
漢朝（前漢〜後漢）,BC206-AD220,ancient,east_asia,flow,0.65,0.55,none,overtaken,0.6,0.5,0.95,0.8,0.7,426,0
ビザンツ帝国（前期）,AD330-AD1000,medieval,europe,flow,0.65,0.65,none,survived,0.7,0.7,0.4,0.8,0.8,670,0
ビザンツ帝国（後期）,AD1000-AD1453,medieval,europe,stock,0.55,0.3,maritime_ban,overtaken,0.7,0.9,0.1,0.4,0.4,453,0
アッバース朝（前期）,AD750-AD1000,medieval,middle_east,flow,0.6,0.8,none,survived,0.3,0.5,0.7,0.9,0.7,250,0
アッバース朝（後期）,AD1000-AD1258,medieval,middle_east,stock,0.5,0.35,none,overtaken,0.3,0.95,0.3,0.5,0.3,258,0
宋朝中国,AD960-AD1279,medieval,east_asia,stock,0.75,0.6,none,overtaken,0.4,0.95,0.8,0.85,0.7,319,0
モンゴル帝国,AD1206-AD1368,medieval,central_asia,flow,0.2,0.85,none,overtaken,0.1,0.3,0.15,0.6,0.3,162,0
マムルーク朝エジプト,AD1250-AD1517,medieval,middle_east,flow,0.5,0.65,none,overtaken,0.5,0.8,0.3,0.4,0.4,267,0
ヴェネツィア共和国,AD697-AD1797,medieval,europe,flow,0.4,0.95,none,overtaken,0.7,0.7,0.05,0.7,0.8,1100,0
ハンザ同盟,AD1200-AD1669,medieval,europe,flow,0.3,0.9,none,overtaken,0.2,0.6,0.1,0.6,0.5,469,0
オスマン帝国（前期）,AD1300-AD1600,early_modern,middle_east,flow,0.5,0.65,none,survived,0.5,0.5,0.6,0.8,0.7,300,0
オスマン帝国（後期）,AD1600-AD1922,early_modern,middle_east,stock,0.55,0.3,maritime_ban,disrupted,0.4,0.9,0.3,0.3,0.3,322,0
明朝中国,AD1368-AD1644,early_modern,east_asia,stock,0.8,0.15,maritime_ban,overtaken,0.6,0.7,0.95,0.5,0.6,276,0
清朝中国（前期）,AD1644-AD1800,early_modern,east_asia,stock,0.85,0.2,maritime_ban,survived,0.6,0.3,0.95,0.5,0.7,156,0
清朝中国（後期）,AD1800-AD1912,modern,east_asia,stock,0.7,0.25,maritime_ban,overtaken,0.5,0.9,0.9,0.2,0.3,112,0
李朝朝鮮,AD1392-AD1897,early_modern,east_asia,stock,0.55,0.1,sakoku,overtaken,0.5,0.8,0.2,0.3,0.5,505,0
徳川日本,AD1603-AD1868,early_modern,east_asia,stock,0.65,0.05,sakoku,disrupted,0.8,0.7,0.3,0.3,0.7,265,0
ムガル帝国（後期）,AD1700-AD1857,early_modern,south_asia,stock,0.6,0.3,none,overtaken,0.5,0.9,0.8,0.3,0.3,157,0
サファヴィー朝ペルシア,AD1501-AD1736,early_modern,middle_east,stock,0.55,0.35,none,overtaken,0.5,0.7,0.3,0.5,0.4,235,0
