entity,period,era,region,dominant,stock_index,trade_openness,closure_type,outcome,geo_barrier,external_threat,relative_pop,tech_position,institutional_quality,regime_duration_yrs,has_external_patron,legacy_closure_type,rater_closure_type,rater_confidence,rater_source_url,rater_source_ref,rater_source_quote,rater_notes
アケメネス朝ペルシア,BC550-BC330,ancient,middle_east,flow,0.4,0.7,none,overtaken,0.4,0.8,0.9,0.5,0.6,220,0,none,,,,,,
アテネ（ペロポネソス戦争後）,BC404-BC338,ancient,europe,flow,0.45,0.8,none,overtaken,0.5,0.8,0.2,0.6,0.7,66,0,none,,,,,,
スパルタ,BC800-BC146,ancient,europe,stock,0.65,0.15,maritime_ban,overtaken,0.5,0.7,0.1,0.4,0.7,654,0,maritime_ban,,,,,,
カルタゴ,BC814-BC146,ancient,africa,flow,0.35,0.9,none,overtaken,0.5,0.9,0.3,0.6,0.5,668,0,none,,,,,,
ローマ共和政〜帝政前期,BC509-AD200,ancient,europe,flow,0.55,0.75,none,survived,0.4,0.4,0.9,0.8,0.8,709,0,none,,,,,,
ローマ帝政後期（西）,AD200-AD476,ancient,europe,stock,0.6,0.35,maritime_ban,overtaken,0.3,0.9,0.5,0.5,0.4,276,0,maritime_ban,,,,,,
プトレマイオス朝エジプト,BC305-BC30,ancient,africa,flow,0.55,0.7,none,overtaken,0.6,0.8,0.4,0.6,0.5,275,0,none,,,,,,
漢朝（前漢〜後漢）,BC206-AD220,ancient,east_asia,flow,0.65,0.55,none,overtaken,0.6,0.5,0.95,0.8,0.7,426,0,none,,,,,,
ビザンツ帝国（前期）,AD330-AD1000,medieval,europe,flow,0.65,0.65,none,survived,0.7,0.7,0.4,0.8,0.8,670,0,none,,,,,,
ビザンツ帝国（後期）,AD1000-AD1453,medieval,europe,stock,0.55,0.3,maritime_ban,overtaken,0.7,0.9,0.1,0.4,0.4,453,0,maritime_ban,,,,,,
アッバース朝（前期）,AD750-AD1000,medieval,middle_east,flow,0.6,0.8,none,survived,0.3,0.5,0.7,0.9,0.7,250,0,none,,,,,,
アッバース朝（後期）,AD1000-AD1258,medieval,middle_east,stock,0.5,0.35,none,overtaken,0.3,0.95,0.3,0.5,0.3,258,0,none,,,,,,
宋朝中国,AD960-AD1279,medieval,east_asia,stock,0.75,0.6,none,overtaken,0.4,0.95,0.8,0.85,0.7,319,0,none,,,,,,
モンゴル帝国,AD1206-AD1368,medieval,central_asia,flow,0.2,0.85,none,overtaken,0.1,0.3,0.15,0.6,0.3,162,0,none,,,,,,
マムルーク朝エジプト,AD1250-AD1517,medieval,middle_east,flow,0.5,0.65,none,overtaken,0.5,0.8,0.3,0.4,0.4,267,0,none,,,,,,
ヴェネツィア共和国,AD697-AD1797,medieval,europe,flow,0.4,0.95,none,overtaken,0.7,0.7,0.05,0.7,0.8,1100,0,none,,,,,,
ハンザ同盟,AD1200-AD1669,medieval,europe,flow,0.3,0.9,none,overtaken,0.2,0.6,0.1,0.6,0.5,469,0,none,,,,,,
オスマン帝国（前期）,AD1300-AD1600,early_modern,middle_east,flow,0.5,0.65,none,survived,0.5,0.5,0.6,0.8,0.7,300,0,none,,,,,,
オスマン帝国（後期）,AD1600-AD1922,early_modern,middle_east,stock,0.55,0.3,maritime_ban,disrupted,0.4,0.9,0.3,0.3,0.3,322,0,maritime_ban,,,,,,
明朝中国,AD1368-AD1644,early_modern,east_asia,stock,0.8,0.15,maritime_ban,overtaken,0.6,0.7,0.95,0.5,0.6,276,0,maritime_ban,,,,,,
清朝中国（前期）,AD1644-AD1800,early_modern,east_asia,stock,0.85,0.2,maritime_ban,survived,0.6,0.3,0.95,0.5,0.7,156,0,maritime_ban,,,,,,
清朝中国（後期）,AD1800-AD1912,modern,east_asia,stock,0.7,0.25,maritime_ban,overtaken,0.5,0.9,0.9,0.2,0.3,112,0,maritime_ban,,,,,,
李朝朝鮮,AD1392-AD1897,early_modern,east_asia,stock,0.55,0.1,sakoku,overtaken,0.5,0.8,0.2,0.3,0.5,505,0,sakoku,,,,,,
徳川日本,AD1603-AD1868,early_modern,east_asia,stock,0.65,0.05,sakoku,disrupted,0.8,0.7,0.3,0.3,0.7,265,0,sakoku,,,,,,
ムガル帝国（後期）,AD1700-AD1857,early_modern,south_asia,stock,0.6,0.3,none,overtaken,0.5,0.9,0.8,0.3,0.3,157,0,none,,,,,,
サファヴィー朝ペルシア,AD1501-AD1736,early_modern,middle_east,stock,0.55,0.35,none,overtaken,0.5,0.7,0.3,0.5,0.4,235,0,none,,,,,,
インカ帝国,AD1438-AD1533,early_modern,americas,stock,0.55,0.05,maritime_ban,overtaken,0.7,0.9,0.3,0.1,0.5,95,0,maritime_ban,,,,,,
アステカ帝国,AD1428-AD1521,early_modern,americas,stock,0.5,0.1,maritime_ban,overtaken,0.4,0.9,0.3,0.1,0.4,93,0,maritime_ban,,,,,,
ポルトガル帝国,AD1415-AD1580,early_modern,europe,flow,0.3,0.9,none,disrupted,0.5,0.7,0.05,0.8,0.5,165,0,none,,,,,,
オランダ共和国,AD1581-AD1795,early_modern,europe,flow,0.35,0.95,none,disrupted,0.3,0.8,0.05,0.8,0.8,214,0,none,,,,,,
スペイン帝国,AD1492-AD1808,early_modern,europe,flow,0.4,0.6,none,disrupted,0.6,0.7,0.2,0.5,0.4,316,0,none,,,,,,
ムガル帝国（前期）,AD1526-AD1700,early_modern,south_asia,flow,0.55,0.6,none,survived,0.5,0.4,0.8,0.6,0.6,174,0,none,,,,,,
大英帝国,AD1815-AD1945,modern,europe,flow,0.65,0.85,none,survived,0.8,0.6,0.3,0.9,0.9,130,0,none,,,,,,
米国（モンロー主義期）,AD1823-AD1898,modern,americas,stock,0.8,0.3,bloc,survived,0.9,0.2,0.4,0.7,0.8,75,0,bloc,,,,,,
明治〜大正日本,AD1868-AD1930,modern,east_asia,flow,0.55,0.65,none,survived,0.8,0.5,0.4,0.7,0.7,62,0,none,,,,,,
エチオピア帝国,AD1855-AD1936,modern,africa,stock,0.4,0.15,maritime_ban,survived,0.8,0.6,0.2,0.2,0.4,81,0,maritime_ban,,,,,,
シャム（タイ）,AD1782-AD1932,modern,southeast_asia,flow,0.45,0.6,none,survived,0.3,0.7,0.2,0.4,0.5,150,0,none,,,,,,
スイス,AD1815-AD現在,modern,europe,stock,0.75,0.4,bloc,survived,0.9,0.5,0.05,0.8,0.9,210,0,bloc,,,,,,
1930s日本（大東亜共栄圏）,AD1930-AD1945,20c,east_asia,stock,0.6,0.2,bloc,disrupted,0.7,0.9,0.3,0.6,0.5,15,0,bloc,,,,,,
