reaction_id,reaction_name,subsystem,gene_association,modulation_fraction,remaining_capacity_fraction,baseline_flux,modulated_flux,feasible,solver_status,objective_value,runtime,atp_demand,atp_per_glc,atp_per_o2,atp_per_carbon,glc_uptake,o2_uptake,lac_out,lac_per_atp,total_flux,condition,state_method,mod_method,model
MAR02225,Free Diffusion,,,0.0,1.0,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,1.0411057472229004,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.05,0.95,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9231832027435303,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.1,0.9,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9086835384368896,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.15,0.85,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,1.0165038108825684,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.2,0.8,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9430201053619385,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.25,0.75,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9279046058654785,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.3,0.7,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9591672420501709,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.35,0.65,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9174535274505615,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.4,0.6,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9155855178833008,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.45,0.55,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9237420558929443,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.5,0.5,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9113199710845947,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.55,0.44999999999999996,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9229753017425537,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.6,0.4,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9242587089538574,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.65,0.35,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9132909774780273,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
MAR02225,Free Diffusion,,,0.7,0.30000000000000004,-1.6685037799189592e-13,-1.6931755714012798e-13,True,optimal,29.999999999999996,0.9207901954650879,30.0,3.0,15.0,0.5,10.0,2.0,16.000000000000277,0.5333333333333425,369.99999999999966,oxygen_limited,pfba,fva_informed,human2
