specialty,specialty_en,n_obs,detrended_r,detrended_p,years
内科,Internal medicine,8,-0.2952721032287034,0.47770248339425236,2018-2025
外科,General surgery,8,-0.650519877571246,0.08069563993038333,2018-2025
整形外科,Orthopaedic surgery,8,-0.4442989682282887,0.2700786409741074,2018-2025
産婦人科,Obstetrics & gynaecology,8,-0.7038132147753049,0.051383526204189324,2018-2025
小児科,Paediatrics,8,-0.037119355943829285,0.9304651121515112,2018-2025
精神科,Psychiatry,8,-0.7698145773353836,0.025469503610957313,2018-2025
眼科,Ophthalmology,8,-0.28192426742154775,0.4987337575442728,2018-2025
耳鼻咽喉科,Otolaryngology,8,-0.14287221597710748,0.7357377396832412,2018-2025
泌尿器科,Urology,8,-0.15750478697918935,0.709526350562419,2018-2025
皮膚科,Dermatology,8,-0.10643351888423719,0.8019391414087653,2018-2025
麻酔科,Anaesthesiology,8,-0.7670472408607019,0.026339671724060116,2018-2025
脳神経外科,Neurosurgery,8,-0.42107633268685307,0.29884165470121515,2018-2025
放射線科,Radiology,8,-0.4382975979140896,0.27737519456824095,2018-2025
救急科,Emergency medicine,8,-0.02552728346128559,0.9521571327641207,2018-2025
形成外科,Plastic surgery,7,-0.6673425502030851,0.10146492744010549,2018-2024
リハビリテーション科,Rehabilitation,7,0.7816798229585448,0.037879850531661916,2018-2024
