country,year,district_magnitude,enep
Antigua and Barbuda,1984,1.0,1.92
Antigua and Barbuda,1989,1.0,1.98
Antigua and Barbuda,1994,1.0,2.07
Antigua and Barbuda,1999,1.0,2.09
Antigua and Barbuda,2004,1.0,2.07
Antigua and Barbuda,2009,1.0,2.07
Antigua and Barbuda,2014,1.0,2.02167
Antigua and Barbuda,2018,1.0,2.03328073913821
Albania,1992,1.0,2.19
Albania,1996,1.0,2.73
Albania,1997,1.0,2.87
Albania,2001,1.0,3.09
Albania,2005,1.0,10.46
Albania,2009,11.67,3.18
Albania,2013,11.67,3.51184
Albania,2017,11.67,2.9440339152707
Andorra,1993,2.0,4.82
Andorra,1997,2.0,2.6
Andorra,2001,2.0,3.28
Andorra,2005,2.0,2.77
Andorra,2009,2.0,2.94
Andorra,2011,2.0,2.32
Andorra,2015,2.0,3.539284
Andorra,2019,2.0,4.01704835321103
Argentina,1920,10.53,3.37
Argentina,1922,10.53,2.95
Argentina,1924,10.53,5.85
Argentina,1926,10.53,4.39
Argentina,1928,5.64,2.94
Argentina,1946,10.53,5.19
Argentina,1951,1.07,1.97
Argentina,1954,1.03,1.93
Argentina,1958,8.13,2.83
Argentina,1960,4.17,4.93
Argentina,1962,4.17,5.49
Argentina,1963,8.35,5.57
Argentina,1965,4.17,4.87
Argentina,1973,10.13,3.19
Argentina,1983,10.58,2.63
Argentina,1985,5.29,4.24
Argentina,1987,5.29,3.14
Argentina,1989,5.29,3.35
Argentina,1991,5.42,3.57
Argentina,1993,5.29,3.37
Argentina,1995,5.42,3.58
Argentina,1997,5.29,3.65
Argentina,1999,5.42,3.15
Argentina,2001,5.29,4.66
Argentina,2003,5.42,4.61
Argentina,2005,5.29,6.16
Argentina,2009,5.29,6.62
Argentina,2011,5.42,3.75
Argentina,2013,5.29,4.652134
Argentina,2017,10.71,4.10906223680172
Argentina,2019,10.71,2.5841061296522
Armenia,1995,1.0,4.18
Armenia,1999,1.0,4.77
Armenia,2003,1.0,5.33
Armenia,2007,1.0,5.26
Armenia,2012,1.0,3.336536
Armenia,2017,4.15,3.0262313735459
Armenia,2018,5.0,1.94439043359907
Australia,1922,1.0,3.12
Australia,1925,1.0,2.53
Australia,1928,1.0,2.74
Australia,1929,1.0,2.72
Australia,1931,1.0,4.19
Australia,1934,1.0,4.5
Australia,1937,1.0,3.06
Australia,1940,1.0,3.57
Australia,1943,1.0,3.12
Australia,1946,1.0,2.74
Australia,1949,1.0,2.64
Australia,1951,1.0,2.49
Australia,1954,1.0,2.46
Australia,1955,1.0,2.73
Australia,1958,1.0,2.97
Australia,1961,1.0,2.81
Australia,1963,1.0,2.79
Australia,1966,1.0,2.98
Australia,1969,1.0,2.83
Australia,1972,1.0,2.77
Australia,1974,1.0,2.66
Australia,1975,1.0,2.69
Australia,1977,1.0,3.11
Australia,1980,1.0,2.81
Australia,1983,1.0,2.67
Australia,1984,1.0,2.79
Australia,1987,1.0,2.9
Australia,1990,1.0,3.33
Australia,1993,1.0,2.87
Australia,1996,1.0,3.19
Australia,1998,1.0,3.46
Australia,2001,1.0,3.44
Australia,2004,1.0,3.17
Australia,2007,1.0,3.03
Australia,2010,1.0,2.86
Australia,2013,1.0,3.00836
Australia,2016,1.0,3.214969
Australia,2019,1.0,3.35103798401555
Austria,1919,6.8,3.32
Austria,1920,6.46,2.99
Austria,1923,6.6,2.75
Austria,1927,6.6,2.41
Austria,1930,6.6,3.15
Austria,1949,6.6,2.78
Austria,1953,6.6,2.76
Austria,1956,6.6,2.48
Austria,1959,6.6,2.48
Austria,1962,6.6,2.47
Austria,1966,6.6,2.39
Austria,1970,6.6,2.29
Austria,1971,20.33,2.28
Austria,1975,20.33,2.27
Austria,1979,20.33,2.28
Austria,1983,20.33,2.4
Austria,1986,20.33,2.72
Austria,1990,20.33,3.17
Austria,1994,4.26,3.87
Austria,1995,4.26,3.59
Austria,1999,4.26,3.82
Austria,2002,4.26,3.02
Austria,2006,4.26,3.71
Austria,2008,4.26,4.79
Austria,2013,4.26,5.149357
Austria,2017,1.84,4.06737194896262
Austria,2019,1.84,4.19771224682548
Barbados,1966,2.0,2.72
Barbados,1971,1.0,1.96
Barbados,1976,1.0,2.03
Barbados,1981,1.0,2.02
Barbados,1986,1.0,1.93
Barbados,1991,1.0,2.29
Barbados,1994,1.0,2.48
Barbados,1999,1.0,1.84
Barbados,2003,1.0,1.98
Barbados,2008,1.0,2.0
Barbados,2013,1.0,2.014317
Barbados,2018,1.0,1.72389123625412
Belgium,1919,6.2,3.27
Belgium,1921,6.2,3.69
Belgium,1925,6.23333333333333,3.23
Belgium,1929,6.23333333333333,3.39
Belgium,1932,6.23333333333333,3.22
Belgium,1936,6.73333333333333,4.6
Belgium,1939,6.73333333333333,4.53
Belgium,1946,6.73333333333333,3.28
Belgium,1949,7.1,3.26
Belgium,1950,7.1,2.76
Belgium,1954,7.1,3.08
Belgium,1958,7.1,2.79
Belgium,1961,7.1,3.08
Belgium,1965,7.1,3.96
Belgium,1968,7.1,6.92
Belgium,1971,7.1,6.41
Belgium,1974,7.1,6.1
Belgium,1977,7.1,5.7
Belgium,1978,7.1,7.52
Belgium,1981,7.1,8.99
Belgium,1985,7.1,8.13
Belgium,1987,7.1,8.12
Belgium,1991,7.1,9.81
Belgium,1995,7.5,9.35
Belgium,1999,7.5,10.29
Belgium,2003,13.64,8.84
Belgium,2007,13.64,9.04
Belgium,2010,13.64,10.04
Belgium,2014,13.64,9.447867
Belgium,2019,13.64,10.8544421478857
Benin,1991,10.67,9.62
Benin,1995,4.61,13.77
Benin,1999,3.46,3.91
Benin,2003,3.46,2.01
Benin,2015,3.46,6.795524
Benin,2019,3.46,1.96971368241912
Burkina Faso,1978,5.7,3.66
Burkina Faso,2002,6.92,3.561
Burkina Faso,2007,7.38,2.739
Burkina Faso,2012,2.47,3.731
Burkina Faso,2015,2.47,5.371
Burkina Faso,2020,2.47,6.449
Bahamas,1977,1.0,2.52
Bahamas,1982,1.0,2.03
Bahamas,1987,1.0,2.11
Bahamas,1992,1.0,1.99
Bahamas,2002,1.0,2.3
Bahamas,2007,1.0,2.13
Bahamas,2012,1.0,2.418103
Bahamas,2017,1.0,2.18381617508965
Bhutan,2008,1.0,1.79
Bhutan,2013,1.0,2.971412
Bhutan,2018,1.0,3.5470803981243
Belize,1984,1.0,2.06
Belize,1989,1.0,2.07
Belize,1993,1.0,2.03
Belize,1998,1.0,1.98
Belize,2003,1.0,2.04
Belize,2008,1.0,2.03
Belize,2012,1.0,2.084554
Belize,2015,1.0,2.055541
Belize,2020,1.0,1.97622209574401
Bangladesh,1991,1.0,4.61
Bangladesh,1996,1.0,3.48
Bangladesh,2001,1.0,2.83
Bolivia,1979,13.0,3.5
Bolivia,1980,14.44,4.35
Bolivia,1985,14.44,4.53
Bolivia,1989,14.44,5.01
Bolivia,1993,14.44,4.66
Bolivia,1997,1.0,5.92
Bolivia,2002,1.0,5.77
Bolivia,2005,1.0,2.62
Bolivia,2009,1.0,2.06
Bolivia,2014,1.0,2.238603
Bolivia,2019,1.0,2.74171373229545
Bolivia,2020,1.0,2.46047250914066
Bosnia,1996,5.25,5.48059321941007
Bosnia,1998,21.0,8.025
Bosnia,2000,5.25,7.77218180687683
Bosnia,2002,5.25,9.66601303539959
Bosnia,2006,5.25,9.31997284159914
Bosnia,2010,5.25,10.72682383895
Bosnia,2014,5.25,8.8131350965479
Bosnia,2018,5.25,10.6768458291222
Botswana,1969,1.0,1.99112741676326
Botswana,1974,1.0,1.64767433650832
Botswana,1979,1.0,1.69711474370979
Botswana,1984,1.0,1.96186949683344
Botswana,1989,1.0,2.02066220050477
Botswana,1994,1.0,2.28090015268346
Botswana,1999,1.0,2.69788297123247
Botswana,2004,1.0,2.7444895589737
Botswana,2009,1.0,2.70600278279914
Botswana,2014,1.0,2.86846205427721
Botswana,2019,1.0,2.43669467241077
Brazil,1947,13.0,3.59
Brazil,1950,12.16,7.11
Brazil,1954,13.04,8.69
Brazil,1958,13.04,9.82
Brazil,1962,16.36,11.17
Brazil,1982,19.16,2.65
Brazil,1986,18.73,3.55
Brazil,1990,18.59,9.79
Brazil,1994,19.0,8.53
Brazil,1998,19.0,8.14
Brazil,2002,19.0,9.28
Brazil,2006,19.0,10.62
Brazil,2010,19.0,11.26
Brazil,2014,19.0,14.13547
Brazil,2018,19.0,17.9475214472881
Burundi,1993,5.4,1.74
Burundi,2005,5.88,2.5024627361402
Burundi,2010,5.88,1.48176376296634
Burundi,2015,5.88,2.60754833090831
Burundi,2020,5.56,1.78749584451904
Bulgaria,1991,7.74,4.12
Bulgaria,1994,7.74,3.81
Bulgaria,1997,7.74,3.02
Bulgaria,2001,7.74,3.91
Bulgaria,2005,7.74,5.8
Bulgaria,2009,1.0,4.4
Bulgaria,2013,7.74,5.290837
Bulgaria,2014,7.74,5.647739
Bulgaria,2017,7.74,4.9064598155544
Canada,1921,1.02,3.27
Canada,1925,1.02,2.64
Canada,1926,1.02,2.55
Canada,1930,1.02,2.36
Canada,1935,1.01,3.29
Canada,1940,1.01,2.8
Canada,1945,1.01,3.78
Canada,1949,1.01,2.83
Canada,1953,1.01,2.85
Canada,1957,1.01,2.98
Canada,1958,1.01,2.44
