search_date,2026-07-17
europepmc_hit_count,7594
transparency_sample_retrieved,300
query,"((""loss to follow-up"" OR ""loss to follow up"" OR ""lost to follow-up"" OR ""retention in care"" OR ""treatment attrition"" OR ""disengagement from care"") AND (tuberculosis OR ""TB treatment"" OR HIV OR ""antiretroviral therapy"" OR ART) AND (""Kaplan-Meier"" OR ""Kaplan Meier"" OR ""survival curve"" OR ""cumulative incidence"" OR ""time to loss"")) AND (OPEN_ACCESS:Y) AND (PUB_TYPE:""research-article"" OR SRC:MED)"

id,source,pmcid,doi,year,journal,title
41629824,MED,PMC12903592,10.1186/s12879-026-12596-0,2026,BMC Infect Dis,"Incidence and predictors of loss to follow-up among youth living with HIV transitioning to adult care in Gambella, Southwest Ethiopia."
41731415,MED,PMC13037074,10.1186/s12879-026-12949-9,2026,BMC Infect Dis,"Retention and predictors of loss-to-follow-up among patients on antiretroviral therapy in the Test-and-Treat Era: evidence from a retrospective cohort study in Maputo, Mozambique."
41762171,MED,PMC12953970,10.1177/23259582261426232,2026,J Int Assoc Provid AIDS Care,Incidence and Predictors of Loss to Follow-Up Among ART Patients on Follow-Up at Public Health Facilities in Southwest Ethiopia. A Time-to-Event Analysis.
41849639,MED,PMC12998607,10.2196/76470,2026,JMIR Res Protoc,Factors Associated With Loss to Follow-Up Among People Living With HIV in a National Tertiary Care Hospital: Protocol and Baseline Analysis of a Prospective Cohort Study.
41877080,MED,PMC13134277,10.1186/s12879-026-13121-z,2026,BMC Infect Dis,Body mass index (BMI) at RR-TB diagnosis as an independent predictor of treatment outcomes: a retrospective analysis.
42042962,MED,PMC13120414,10.3390/tropicalmed11040100,2026,Trop Med Infect Dis,"Epidemiological Characteristics and Treatment Outcomes of Drug-Resistant Tuberculosis in Limpopo Province, South Africa (2020-2024)."
42340970,MED,PMC13293434,10.1371/journal.pone.0345056,2026,PLoS One,Predictors of tuberculosis mortality among patients on treatment: A retrospective cohort study at a rural general hospital in Zambia.
41952143,MED,PMC13191892,10.1186/s12889-026-27295-3,2026,BMC Public Health,Retention in HIV care before and after implementation of a case management program in Malawi.
41121165,MED,PMC12542511,10.1186/s12981-025-00814-9,2025,AIDS Res Ther,"Ten-year outcomes of antiretroviral therapy: a retrospective cohort study in Tshwane district, South Africa."
41290976,MED,PMC12647855,10.1038/s41598-025-25880-x,2025,Sci Rep,The loss to follow-up of participants excluded from the NAMSAL trial: a retrospective cohort study.
