candidate_id,ecosystem,region,latitude_range,longitude_range,publication,publication_doi,dataset_name,dataset_doi,repository,license,open_download,environmental_layer,resource_or_prey_layer,predator_layer,additional_trophic_layers,species,tracking_or_sampling_method,individual_ids_available,timestamps_available,coordinates_available,start_date,end_date,duration_years,temporal_resolution,spatial_resolution,estimated_n_independent_events,estimated_n_individuals,estimated_n_observations,contemporaneous_layers,environment_data_available,current_data_available,known_published_effect,known_effect_reproducible,main_limitations,notes
TOPP,California Current / N Pacific pelagic,Eastern N Pacific,0-60N,180-120W,Block et al. 2011 Nature; Hazen et al.,10.1038/nature10082,Tagging of Pacific Predators (TOPP) SSM-derived telemetry,10.82144/d127533f,OBIS-SEAMAP,OBIS-SEAMAP open,yes,daily SST/chl/SSH/upwelling index (CoastWatch ERDDAP),CalCOFI/SWFSC CPS acoustic-trawl surveys; forage fish indices (partially open),tagged tunas/sharks/turtles/pinnipeds/seabirds,squid via jumbo squid tracks; whales,"Thunnus, Lamna, Chelonia, Mirounga, Zalophus etc.",Argos/GPS/PAT tags,yes,yes,yes,2000,2010,10,daily SSM positions,~10-50 km SSM,">=20 (annual upwelling pulses, eddies, MHW onset)",hundreds,~300k positions,env yes; prey partially (surveys not concurrent at fix scale),yes,yes (geostrophic+OSCAR-era),predator foraging hotspots track productivity/fronts,likely,"prey layer is survey indices, not concurrent acoustic biomass at track scale",strongest overall repeated-event architecture
south-georgia-krill-predators,Southern Ocean krill-predator,South Georgia / Scotia Sea,50-60S,45-30W,BAS long-term monitoring; Trathan et al.,,BAS/PDC penguin+seal tracking; CCAMLR krill acoustic surveys,10.5285/459597b2-ca0c-4110-b59c-62490867f348,UK Polar Data Centre / CCAMLR,open (PDC) / CCAMLR rules,yes (PDC); CCAMLR krill data partially,chl/sea-ice/SST daily satellite,"krill acoustic biomass surveys (CCAMLR, episodic)",macaroni/chinstrap penguin PTT; fur seal tracking,phytoplankton (chl) -> krill -> predator = 3 levels,"Eudyptes chrysolophus, Pygoscelis antarcticus, Arctocephalus gazella",Argos PTT/GPS,yes,yes,yes,1990s-,ongoing,>10,~hourly GPS / daily Argos,km-scale,~10-15 (annual breeding-season krill arrival/ice-edge events),>50,>1e5,partial - krill surveys not always concurrent with tracks,yes,yes,predator foraging tracks krill/ice-edge availability,likely,krill biomass contemporaneous with tracks is episodic; Zavodovski sets lack krill covariate,dedicated krill search result; simultaneity uncertain
seatrack-sandeel,NE Atlantic sandeel-seabird,North Sea / Norwegian Sea,55-70N,5W-20E,SEATRACK consortium; Carroll et al. 2017 sandeel-seabird,10.1111/1365-2664.12879,SEATRACK seabird tracking + ICES DATRAS sandeel acoustic,,SEATRACK/Movebank + ICES DATRAS,SEATRACK open download; ICES DATRAS open API,yes,SST/chl daily satellite,sandeel acoustic survey + dredge indices (annual),kittiwake/puffin/fulmar GPS+GLS tracks,,"Rissa tridactyla, Fratercula arctica, Fulmarus glacialis",GPS/GLS,yes,yes,yes,2007,ongoing,>10,~30-60 min GPS,<1 km,~10 (annual breeding/sandeel availability windows),>100,>1e6,"partial - sandeel survey annual, tracks seasonal",yes,yes,seabird breeding success/foraging linked to sandeel,partially,sandeel abundance annual not event-resolved; events = yearly,event granularity yearly -> ~10-15 events
calCofi-cps-predator,California Current upwelling-forage,CCS,30-42N,125-115W,CalCOFI/NOAA CPS survey series,,CalCOFI hydroacoustic + CPS survey data,,NOAA CoastWatch ERDDAP / CalCOFI,public,yes,"daily upwelling index (BEUTI), SST, chl",anchovy/sardine acoustic-trawl biomass,none in same repo (pair with TOPP tracks),,"Engraulis mordax, Sardinops sagax",ship surveys,no,yes,yes,1998,ongoing,>20,survey ~annual/quarterly,transect-scale,>=20 upwelling pulses/yr possible,n/a,transects,yes within survey windows,yes,yes,forage biomass responds to upwelling,yes,predator layer must be fused from TOPP,pair with TOPP for 3-layer system
peru-anchoveta-seabird,Humboldt upwelling anchoveta,Peru/N Chile,5-20S,82-70W,IMARPE survey series; Bertrand et al.,,IMARPE anchoveta acoustic + guano bird censuses,,IMARPE / institutional,partially public,limited,daily SST/upwelling/Nino indices,anchoveta acoustic surveys,guano seabird censuses (annual),,"Sula variegata, Pelecanus thagus, Phalacrocorax bougainvillii",ship acoustic + colony census,no,yes,yes,1960s,ongoing,>40,survey annual; predator annual,coast-wide,~10 (Nino/collapse episodes),n/a,surveys,yes annually,yes,yes,seabird crashes during Nino low-anchoveta years,yes,data-request access; predator annual resolution,strong event contrast (El Nino) but coarse predator sampling
benguela-sardine-gannet,Benguela sardine-predator,Namibia/S Africa,35-20S,10-20E,Crawford et al.; Pichegru et al. gannet tracking,,sardine acoustic surveys + Cape gannet tracks,,Movebank (gannets) + DEFF surveys,Movebank open for some studies,partial,daily SST/chl/upwelling,sardine/anchovy acoustic surveys (annual),Cape gannet GPS tracks,,Morus capensis,GPS,yes,yes,yes,2000s,2010s,~10,~min GPS,<1 km,~8-10 (annual prey availability episodes),~50-100,>1e5,partial,yes,yes,gannet foraging shifts with pelagic fish distribution,likely,prey surveys annual; some data on request,
imos-aatams,Australian shelf predator,Australia,45-10S,110-155E,IMOS ATF outputs,,IMOS Australian Animal Tracking Database,,AODN portal,open,yes,daily SST/chl/SSH,none direct,"sharks, seals, turtles, fish acoustic+satellite",,"Carcharodon, Arctocephalus, Chelonia etc.",acoustic arrays + satellite tags,yes,yes,yes,2007,ongoing,>15,detection-level to daily,array/grid,"many environmental, no prey events",>1000,>1e6,no prey layer,yes,yes,animal movements vs env,yes,no concurrent prey field -> fails criterion D alone,high-frequency telemetry but needs external prey data
otn-atlantic,NW Atlantic shelf,W Atlantic,30-55N,70-40W,OTN publications,,Ocean Tracking Network acoustic arrays,,OTN data portal,mixed; much restricted,limited,yes satellite,partial (forage indices),"salmon, sharks, sturgeon, mammals tags",,"Salmo, Carcharhinus, Acipenser",acoustic arrays,yes,yes,yes (detections),2008,ongoing,>15,detection-level,array,unknown,>1000,>1e6,partial,yes,yes,various,varies,access negotiation for much data; array-confined,
krillbase-whale,Southern Ocean krill-whale,circumpolar,90-50S,all,Atkinson et al. KRILLBASE,10.5194/essd-9-193-2017,KRILLBASE + whale telemetry compilations (OBIS),10.1594/PANGAEA.734923,PANGAEA + OBIS-SEAMAP,open,yes,chl/sea-ice,historical krill density net samples,whale/seal telemetry compilations,,"Balaenoptera, Hydrurga",net hauls + Argos,yes(whales),yes,yes,1920s/1990s,2008/2010s,long but asynchronous,episodic,station/track,few contemporaneous,~100,12k stations,no - krill samples and tracks mostly different decades,yes,yes,krill decline/cetacean links,partially,krill and predator layers rarely contemporaneous,dedicated krill search - simultaneity fails
meop-southern,Southern Ocean seal-ocean,Southern Ocean,90-50S,all,Treasure et al. MEOP,10.1002/2016JC011582,MEOP-CTD seal-borne oceanography,10.5281/zenodo.429015,MEOP/Zenodo,open,yes,in-situ T/S profiles,none direct (prey inferred),elephant/fur seal tracks,,"Mirounga leonina, Arctocephalus",CTD-SRDL tags,yes,yes,yes,2004,ongoing,>15,~hourly dives,km,eddies/front crossings numerous,>500,>1e6,no direct prey,yes (in situ),yes,seals track fronts/ice,yes,prey layer absent -> only env->predator,
